dwc:taxonID	dwc:occurrenceStatus	dwc:locationID	dwc:locality	dwc:countryCode	dcterms:source
df15081e-73d6-4cab-b744-7182d9aec34d	native		East Palearctic region		
d2134139-b5fb-4497-83bf-487aa146ab34	native		West Palearctic region		
46539d49-03b0-48a3-b9e0-528aa1daa3ba	native		West Palearctic region		
2eefdd2f-8661-48f7-8b79-e96d1d581a3b	native		West Palearctic region		
4290a975-59f3-45a9-86a5-ac4b2f3fba34	native		Australian and Pacific regions		
0809b6c0-6c66-4f8f-8206-e6453f27597c	native		West Palearctic region, Nearctic region		
7d6e6942-d72c-4b6f-850c-b1cfa5f801bc	native		East Palearctic region		
3252b204-185f-49c6-a71d-1547e3a73976	native		East Palearctic region		
bcd4174c-dda2-43fa-bf1f-f1079f2e81ce	native		West Palearctic region		
d964b3b4-ab03-4c9a-ab6e-16169f804567	native		Afrotropical region		
3f87a9d6-79b9-4371-9713-852250b99f7c	native		Neotropical region		
30b50fa0-a347-4833-b909-af66d43a5722	native		West Palearctic region		
c6fd2e4e-11fc-462d-86b2-fe50bacdabb0	native		West Palearctic region		
5b37bba0-21b5-44f7-8519-e850df61fce9	native		Nearctic region, Neotropical region		
609e0ce6-ad43-4efa-8ef1-a795d230bdc6	native		East Palearctic region		
3094eebf-41ae-4458-a813-6aad6b970900	native		West Palearctic region		
d702dd23-8c61-49d1-80ed-9acc81c4d7ec	native		Oriental region		
53693b0b-ef92-4832-8a16-8975d5729ce0	native		Oriental region		
827d6b7d-59d3-4d92-be7c-9b463470659f	native		Neotropical region		
b51e410a-a833-41c8-91c3-2c1d5e1dbb09	native		Afrotropical region		
ea8600a4-82bd-4a58-bcd0-d1f0cacc82b7	native		East Palearctic region		
eded661a-5dbb-4d69-be85-ee76ab2d3579	native		Neotropical region		
a49dcdcd-3ad9-4708-8df8-a02e5d3d74aa	native		West Palearctic region, East Palearctic region		
7776fa4b-60b7-4024-a8df-7bea309ce798	native		West Palearctic region		
afbea042-9702-42cc-a01c-47819e8a5f8f	native		Oriental region		
e332ab8a-a334-4d31-b5c3-793e18cb6ec5	native		East Palearctic region		
9a22c3c1-76fb-470e-8868-5925530969f6	native		West Palearctic region, East Palearctic region		
8edff757-c06b-467d-b975-d9a1d6599a79	native		West Palearctic region		
9ee5689e-23d1-497b-8073-69726c7b6fe6	native		West Palearctic region		
3cbb554d-2372-410f-a2ea-b6c7aed9142e	native		East Palearctic region (fossil)		
cf109a3f-262d-4868-92a1-e4b44c8f31ec	native		West Palearctic region		
4345fccb-e11d-474f-9a18-d84410e22690	native		West Palearctic region		
14cd77de-9dfb-4749-ab25-4b9c3be2027e	native		Oriental region		
df9dbbeb-ad9e-4d85-8da9-12aba2120bb3	native		Neotropical region		
b2dd0353-5e9b-4664-9336-786bde4d54e2	native		West Palearctic region		
61b15e3e-f7ea-4b4a-8b8c-8436c2fbabf9	native		East Palearctic region		
c8661ac0-3c4d-4c41-a9e5-6705eac7f532	native		Neotropical region		
32678751-66d8-42ee-96ec-d22ded1188bf	native		West Palearctic region		
fda24719-688d-48f1-a7ba-db79e265b122	native		Afrotropical region		
521cf70c-d86d-45be-8db1-93140b258c2b	native		Nearctic region		
07718fdc-b35c-46ee-b802-e229e1b16cdb	native		Afrotropical region		
2ac0a418-9999-4eec-8903-378b7ef2fab4	native		Oriental region		
f61a0268-0f14-4d49-a273-17610a272ba9	native		West Palearctic region		
5e33f195-5c88-474b-98fe-20057aa3b224	native		Afrotropical region		
470996e7-b329-4e22-b8e7-a042c04732d0	native		East Palearctic region		
13a343fc-06c7-45a7-8166-3bba61c28377	native		Neotropical region		
037c2239-d942-4368-aae8-da2e4ba2355b	native		Neotropical region		
1a6fc472-4a56-4f37-a1f3-c5f897990451	native		West Palearctic region		
8cf65b4d-6d03-4e99-8c7a-deab21843b0d	native		Oriental region		
8a9faf59-937e-40a8-a5ba-54281882d597	native		East Palearctic region		
0a501577-39f9-4808-b3cd-880f9625e157	native		Afrotropical region		
bbe5941f-89bc-4a1a-ba4e-b9f198f98bc2	native		Nearctic region		
9614fd44-8d3a-4ef2-a162-22f502398418	native		Oriental region		
4e53f317-3141-4100-9f05-09bd37fb1a31	native		Afrotropical region		
e0ef6bee-700d-4fb8-8244-a34e00ad673c	native		West Palearctic region		
02943fbd-ba1c-4fe1-bf2a-dba4a6e19998	native		Afrotropical region		
3bf8270f-d54f-4b1b-9c6a-e0cf816720cf	native		East Palearctic region		
9e9f7a7e-ddc8-42d3-a2ac-258d63d99b57	native		East Palearctic region		
1de5905b-7d63-442a-9223-a726aec0d338	native		Neotropical region		
86ff6b91-2d9b-4bb9-8bae-4ed9d927a538	native		Afrotropical region		
58a4f490-92f5-4a2b-aab4-4f15a6cdd7b7	native		East Palearctic region		
63c6fa15-c95f-4ca0-87ce-7b1f0cb00e39	native		West Palearctic region		
d33bbeca-bc39-458f-91c1-114b3a9127a4	native		Australian and Pacific regions		
8efb1e4b-756c-46be-870b-f82d9f3b5613	native		Nearctic region		
74b33b3d-e8fd-4fea-8dd8-34383a9546b2	native		Neotropical region		
a0ac3e15-7c95-417b-acda-7473ba9e3807	native		Nearctic region		
e6b156ca-72b5-472d-a5e2-ab79e260a3fd	native		West Palearctic region, East Palearctic region		
076b4f0c-1c15-43da-a7ee-f740cbea42ea	native		Neotropical region		
be0be897-fc1c-4820-8b70-06124e08559a	native		Australian and Pacific regions		
5b2475be-90ed-46f9-8dea-7a8d99d9a288	native		West Palearctic region (fossil)		
83a134a2-47e8-4caa-8ab8-a0546a95e4a9	native		East Palearctic region		
c71f0606-f3d7-4b22-9683-1a5a8df0f234	native		Oriental region		
1be8b3fb-5684-4402-968f-7b68737142c6	native		Neotropical region		
eb39c77e-58c0-4802-8585-f22e81868dc1	native		West Palearctic region		
7b369500-dfd8-4015-a5cd-044060ff10b5	native		Afrotropical region		
48691fde-236f-49c7-8dcc-40d41fd2b063	native		Nearctic region		
d4c22504-aab3-4abb-9fe4-322859279d0f	native		Nearctic region		
258b8d90-9ae5-43e5-9584-35ebba8d8486	native		West Palearctic region		
f706793d-0e9e-4b18-bdef-6232ba0d93c6	native		East Palearctic region		
e702f4c1-1775-409d-b249-e905f7a69c2c	native		West Palearctic region		
e7b839e8-2fe0-4a84-90ea-5a7feebb28fb	native		West Palearctic region		
6ed2c160-d6ed-4ff8-9f25-9ef7aa67168b	native		West Palearctic region		
fec5165b-6cc7-4ee6-b8ba-5d00c4371295	native		Neotropical region		
1ed10c88-bdbb-434e-80d1-7e355f928f71	native		West Palearctic region		
d462b34c-255e-4e2d-baaa-3ac3fea22b58	native		West Palearctic region		
d1aa7fde-c996-4632-bf26-c4d3910bcf86	native		Nearctic region		
6cc82cdd-276b-4f5f-b716-f069d4834ee1	native		Afrotropical region		
0855de37-0cc3-4c79-822e-c55b89f8f9e0	native		Australian and Pacific regions		
2e4c9c44-6d41-46fd-99be-5c08b09efbff	native		West Palearctic region, East Palearctic region		
748311ee-8497-439f-b377-1781b7753020	native		East Palearctic region		
c52c76f8-cd70-40f5-8dd6-5d818befae95	native		Afrotropical region		
