scientific_nameID	parent_nameID	accepted_nameID	name_usage	unacceptability_reason	rank_name	taxon_author	unit_name1	unit_name2	unit_name3	unit_name4	geographic_value	origin	referenceID
a161dc88-b049-4c38-8500-c4959405617c		32678751-66d8-42ee-96ec-d22ded1188bf	unaccepted	misapplied	Species		Nepticula	gratiosella					0d9561cdb3053f15f0015983b96535f3
644e5b6291b2f6528b67aa26f7b554f3		71a0a723-d68c-48f3-9469-d9a03d2c5935	unaccepted	other, see comments	Species	Scoble, 1983	Ectoedemia	kowynensis					2a25908f8b87f957d56caef8b5ffb546
2b58556a-76dc-4b14-a1a8-65e6670f641e		a01ac236-a761-4a4c-abe3-179cf155618a	unaccepted	other, see comments	Species		Nepticula	ignobiliella					
xE	xC		accepted		Family								
x42	xE		accepted		Genus		Casanovula						
x34	xJ		accepted		Genus		Opostega						
7a17b5be-b437-4818-ad81-5f0341c8ddf9		a2dbe5d1-2ac4-4c9c-a623-1fd7203f67bf	unaccepted	other, see comments	Species	Frey, 1856	Nepticula	tiliae					3b7c5c8de0f76b3461b8174e975bfa9b
x6	x4		accepted		Phylum								
xY	xE		accepted		Genus		Muhabbetana						
610fb8a9-bdaf-4691-926f-e28e1bf63eef		8cf65b4d-6d03-4e99-8c7a-deab21843b0d	unaccepted	other, see comments	Species	Meyrick, 1907	Opostega	machaerias					06189cb67069cdc270e73cbe8c81a614
2470071a-51f4-4fe4-bda7-e515781818a9	xG		accepted		Species	Rebel, 1933	Trifurcula	aurella					18eac55e0cf4ef9655206a82c31394ee
2d2b075c-f0a4-4cdc-bc5f-f9bda57496f6		f90e3a9a-1e6d-49b2-bd22-fb74a4714bfe	unaccepted	other, see comments	Species	Meess, 1910	Nepticula	heurema					f0c274a125aaf7c2d940163f307eca84
26913bc4-3bbd-4890-bd60-8edaafbaa1f0	xQ		accepted		Species	Puplesis, 1994	Stigmella	lanceolata					72362453da49dd22742401b32d704f4d
13350f5c-438c-44ce-aaa2-2eb6c7580431		05ec06b8-7413-4f4c-b1dd-dbf6ba4fdba7	unaccepted	other, see comments	Species	Stainton, 1854	Nepticula	tityrella					e27f93dcd3309ca755932487ce6c18fa
7ab3352c-d784-48cb-9d97-8c3a9cca7c27		1d7669c6-ad07-42a2-883a-82910f245e36	unaccepted	other, see comments	Species	Meyrick, 1913	Nepticula	nigrata					b32d1d89065f4110dc9fa7d6fe7a6ae3
ab410857-4b96-47cb-92b6-1bf24d0d3080		c44bd076-6949-4dbe-8361-dc941fd98dfe	unaccepted	other, see comments	Species	Meyrick, 1907	Opostega	tetroa					06189cb67069cdc270e73cbe8c81a614
x3S	xE		accepted		Genus		Ozadelpha						
7fbec59a-e06a-4b0a-a6ce-787059bebc63		71d3e3bd-f733-4981-a97a-4c588b2587d0	unaccepted	other, see comments	Species	Meyrick, 1916	Nepticula	rusticula					894c0591e767035f871dc4d83f5b8399
ac0dcb1d-4044-4b07-a38f-bf4d6e307895		0d284870-b77c-449b-9873-ddd38c01512c	unaccepted	other, see comments	Species	Zimmermann, 1944	Nepticula	cerris					57b92537c3602167f7d975adb22c091e
x44	xJ		accepted		Genus		Neopostega						
x46	xJ		accepted		Genus		Notiopostega						
x3C	xJ		accepted		Genus		Opostegoides						
xU	xE		accepted		Genus		Hesperolyra						
x3W	xE		accepted		Genus		Etainia						
x3L	xE		accepted		Genus		Glaucolepis						
xL	xJ		accepted		Genus		Pseudopostega						
x3N	xJ		accepted		Genus		Paralopostega						
35997fb3-0bcd-4e1c-ac8f-b663d4626ed4		af8ab946-bbdb-4b74-b330-e233aecd1975	unaccepted	other, see comments	Species	Klimesch, 1948	Stigmella	liguricella					ee3bf905d14daf49ccedec7c85656d16
x3U	xE		accepted		Genus		Stigmellites						
91933613-5ff1-4c6b-802f-f13e41a6b991		4e873810-36c0-459f-93b7-a35238384ac9	unaccepted	other, see comments	Species	Frey, 1856	Nepticula	mespilicola					3b7c5c8de0f76b3461b8174e975bfa9b
8c5a23c1-b753-4234-9d81-e891c0380d69	xQ		accepted		Species	Puplesis, 1985	Stigmella	alisa					654e64d60473a97692161654ff5b2ce6
x3E	xE		accepted		Genus		Bohemannia						
x4			accepted		Kingdom								
x32	xE		accepted		Genus		Fomoria						
x36	xE		accepted		Genus		Parafomoria						
a90dc1b8-36ac-4969-8411-5c4a140df881		e4154e47-5f2a-4138-9958-35bc7abbd134	unaccepted	misapplied	Species		Nepticula	distinguenda					
x48	xE		accepted		Genus		Areticulata						
xW	xE		accepted		Genus		Enteucha						
x4A	xE		accepted		Genus		Neotrifurcula						
9237113e-ed44-4183-9fe2-cc9c664d1eb5		1711a385-7d37-48e5-93ef-4f8aba7a6eb3	unaccepted	other, see comments	Species	Toll, 1934	Nepticula	malivora					0f01a5c5c48ffdac1f1dab7d548d9740
x3J	xJ		accepted		Genus		Eosopostega						
xN	xE		accepted		Genus		Roscidotoga						
xG	xE		accepted		Genus		Trifurcula						
x3Q	xE		accepted		Genus		Pectinivalva						
18f6d655-3832-46c0-a531-c752676fea24		e1ab2b2d-e70f-4dfe-82b6-dc483f99f505	unaccepted	other, see comments	Species	Busck, 1913	Ectoedemia	castaneae					c70597d0eb88dfc8fdf0043af7a05925
xQ	xE		accepted		Genus		Stigmella						
b7ace73f-838d-4a22-aecb-3af92316597f	xG		accepted		Species	(Duponchel, 1843) van Nieukerken et al., 1987	Trifurcula	subnitidella					3f2feee318db6ef23912269b361034c0
9fa9b993-ec2a-43db-b635-4b66b6461e0a		e702f4c1-1775-409d-b249-e905f7a69c2c	unaccepted	other, see comments	Species	(Hering, 1942) Klimesch, 1951	Stigmella	zimmermanni					43c4c75256ce3b8e96801edd2d7aa482
63be4bf1-caf8-41c9-a192-e73b07f07a9c		1ed10c88-bdbb-434e-80d1-7e355f928f71	unaccepted	other, see comments	Species	Fologne, 1860	Nepticula	ulmivora					407d49baa6efceaeb0d9d029fe386e6a
dbf861b3-2cbe-4e6c-a359-53a61e103892		a4ffe3a6-7021-45f3-8b16-58749ad99d47	unaccepted	other, see comments	Species	Thunberg, 1794	Tinea	penicilla					02339c2e4379247d839449e2db8b9e47
xA	x8		accepted		Order								
xJ	xC		accepted		Family								
eed1ab92-4ddf-4335-b46f-5999729addbe	x32		accepted		Species	Klimesch, 1978	Fomoria	luisae					748982707a980ce1390f45d559ab8505
5cb7f72c-4bf4-4510-9c79-47713929949b		5cd43a23-eef8-47c8-83ca-7a3e76aafb78	unaccepted	other, see comments	Species	(Szöcs, 1965)	Fedalmia	thymi					
6b88d525-f6a9-4740-8d16-ff711a709b8b		18b6dd63-04e4-4ce4-896a-452a042a0eb8	unaccepted	other, see comments	Species	Mey, 2004	Ectoedemia	kharuxabi					4a51c7e478c3e5afd64d3b9460cf7c44
x4C	xE		accepted		Genus		Varius						
x3A	xE		accepted		Genus		Zimmermannia						
8c81c479-794b-40c3-81b4-9f01069a4feb	xQ		accepted		Species	Scoble, 1983	Stigmella	worcesteri			Africa	Native	2a25908f8b87f957d56caef8b5ffb546
bd10458e46525a6c76dd593ccd6f9122		7859c4e5-31f2-4f81-acbf-2d41ad66fdca	unaccepted	other, see comments	Species	Scoble, 1983	Ectoedemia	undatae					2a25908f8b87f957d56caef8b5ffb546
x3G	xE		accepted		Genus		Menurella						
e47e9c48-3f7d-4e5f-b0d0-7ad18764f5bf		5af84828-4052-4c95-9367-43633410f425	unaccepted	other, see comments	Species	Herrich-Schäffer, 1855	Nepticula	decentella					4db3810d8f8500925bba60337489c3a8
