Item type	ID	dwc:namePublishedIn	reference_author	editors	title	publication_name	actual_pub_date	pages	publisher	pub_place	Language
Journal Article	e627c7c00d8ac62d83f9a38345c0495a	Strand, E. (1927). Neubenennungen palaearktischer Lepidoptera und Apidae. – Archiv für Naturgeschichte 91(A. 12) (1925), 281-283. (282).	Strand, E.		Neubenennungen palaearktischer Lepidoptera und Apidae	Archiv für Naturgeschichte, 91(A. 12)	01/01/1927	282			de
Journal Article	9c6845ef0618b44b29504b3aa2e3d743	Strecker, F. H. H. (1881). Description of a New Species of Trochilium. The Canadian Entomologist, 13, 156.	Strecker, F.H.		Description of a New Species of Trochilium	The Canadian Entomologist, 13	01/01/1881	156			ca
Book Chapter	660dc948f261847ece74c53d871bbbc5	Swinhoe, C. (1890). The moths of Burma. – The Transactions of the Entomological Society of London (4th ser.), 161-200, pl. vi. (165-171).	Swinhoe, C.		The moths of Burma	The Transactions of the Entomological Society of London (4th ser.)	01/01/1890	165–171			en
Book Chapter	8eec584b17498b3693f2e65efca89c94	Swinhoe, C. (1892). Sphinges and Bombyces. – Catalogue of Eastern and Australian Lepidoptera Heterocera in the Collection of the Oxford University Museum 1, viii+324 pp, 8 pls. (35-40).	Swinhoe, C.			Sphinges and Bombyces. – Catalogue of Eastern and Australian Lepidoptera Heterocera in the Collection of the Oxford University Museum 1	01/01/1892	35-40			en
Journal Article	da909c382085d78e9d571920bd8060e5	Swinhoe, C. (1896). New Species of Lepidoptera from the Khasia Hills. The Annals and Magazine of Natural History (Sixth Series), 17, 357–363. (359–360).	Swinhoe, C.		New Species of Lepidoptera from the Khasia Hills	The Annals and Magazine of Natural History (Sixth Series), 17	01/01/1896	359–360			en
Journal Article	de0c9e7e228f965da628c605fbca6519	Taft, W. H., & Cognato, A. I. (2017). Recognition of a new species of Carmenta from New Mexico supported by morphology and mitochondrial cytochrome oxidase I data (Lepidoptera: Sesiidae: Sesiinae: Synanthedonini). – Zootaxa 4337(3), 436-444.	Taft, W.H. and A.I. Cognato		Recognition of a new species of Carmenta from New Mexico supported by morphology and mitochondrial cytochrome oxidase I data (Lepidoptera: Sesiidae: Sesiinae: Synanthedonini)	Zootaxa, 4337(3)	01/01/2017	436–444			en
Journal Article	969e74cf171d82850c9d993dde806cad	Tautel, C. (2009). Bembecia hymenopteriformis (Bellier de la Chavignerie, 1860) reste a decouvrir en Corse. Bembecia uroceriformis f. subiti nov., forme remarquable de Corse de Bembecia uroceriformis (Treitschke, 1834) (Lep. Sesiidae). Oreina, 6, 37.	Tautel, C.		Bembecia hymenopteriformis (Bellier de la Chavignerie, 1860) reste a decouvrir en Corse. Bembecia uroceriformis f. subiti nov., forme remarquable de Corse de Bembecia uroceriformis (Treitschke, 1834) (Lep. Sesiidae)	Oreina 6	01/01/2009	37			es
Journal Article	767c364aa586830b90b9284934bf89ba	Thomas, E. (1824). On the Preservation of Peach Trees. American Farmer, 6, 37.	Thomas, E.		On the Preservation of Peach Trees	American Farmer, 6	01/01/1824	37			en
Journal Article	a4d0fd668006ccc791b1a7bf694a254c	Tomala, N. (1901). Sesia empiformis Esp. var. hungarica n. var. Rovartani Lapok, 8, 47–50.	Tomala, N.		Sesia empiformis Esp. var. hungarica n. var	Rovartani Lapok, 8	01/01/1901	47–50			lt
Journal Article	44a4ad28fd1e69302c1c39796ac4c843	Toševski, I. (1986). A new species of clear-wing moths from the Balcan Peninsula (Lepidoptera, Sesiidae). Fragmenta Balcanica Musei Macedonici Scientiarum Naturalium, 12, 191–196.	Toševski, I.		A new species of clear-wing moths from the Balcan Peninsula (Lepidoptera, Sesiidae)	Fragmenta Balcanica Musei Macedonici Scientiarum Naturalium, 12	01/01/1986	191–196			en
Journal Article	46304eff8dae267c67e3b9c26e78963f	Toševski, I. (1987). A supplement to the present knowledge of the genus Paranthrene Hübner, 1819 on the territory of Yugoslavia (Lepidoptera, Sesiidae). Acta Musei Macedonici Scientiarum Naturalium, 18, 177–195.	Toševski, I.		A supplement to the present knowledge of the genus Paranthrene Hübner, 1819 on the territory of Yugoslavia (Lepidoptera, Sesiidae)	Acta Musei Macedonici Scientiarum Naturalium, 18	01/01/1987	177–195			en
Journal Article	860c2883a8d9835331747f612d35014d	Toševski, I. (1989). A new species of the genus Bembecia Hübner, 1819 from Macedonia (Lepidoptera, Sesiidae). Fragmenta Balcanica Musei Macedonici Scientiarum Naturalium, 14, 81–90.	Toševski, I.		A new species of the genus Bembecia Hübner, 1819 from Macedonia (Lepidoptera, Sesiidae)	Fragmenta Balcanica Musei Macedonici Scientiarum Naturalium, 14	01/01/1989	81–90			sn
Journal Article	9d2a0f6140c0e6f13556b1506a1634e8	Toševski, I. (1991). A new species of clearwing moths from Greece: Bembecia fokidensis spec. nov. (Lepidoptera, Sesiidae). – Atalanta 22(2/4), 169-172, 372-373.	Toševski, I.		A new species of clearwing moths from Greece: Bembecia fokidensis spec. nov. (Lepidoptera, Sesiidae)	Atalanta 22(2/4)	01/01/1991	169–172, 372–373			en
Journal Article	06350195d4a7ce8ed3bd7d883c68c5ab	Toševski, I. (1993). Bembecia pagesi sp. nov. a new species of clearwing moth from North India (Ladakh) (Lepidoptera, Sesiidae). Entomofauna, 14, 277–280.	Toševski, I.		Bembecia pagesi sp. nov. a new species of clearwing moth from North India (Ladakh) (Lepidoptera, Sesiidae	Entomofauna, 14	01/01/1993	277–280			en
Journal Article	aab64b8de7f74c0b6a597a009fa37fa7	Toševski, I. (1993). Chamaesphecia schroederi sp. nov., a new species of clearwing moth from Inner Mongolia, China (Lepidoptera, Sesiidae). Entomofauna, 14, 421–428.	Toševski, I.		Chamaesphecia schroederi sp. nov., a new species of clearwing moth from Inner Mongolia, China (Lepidoptera, Sesiidae)	Entomofauna, 14	01/01/1993	421–428			en
