Item type	ID	dwc:namePublishedIn	reference_author	editors	title	publication_name	actual_pub_date	pages	publisher	pub_place	Language
Miscellaneous	a4154d314de6636ccf79941f56d5f703	[Denis, M. & Schiffermüller, I.]. (1775). Ankündung eines systematischen Werkes von den Schmetterlingen der Wienergegend [sic], 323 pp. – Wien. (30, 44, 305-306).	Denis, M. and I. Schiffermüller			Ankündung eines systematischen Werkes von den Schmetterlingen der Wienergegend [sic]	01/01/1775	30, 44, 305-306			de
Journal Article	a2953e431815c43069588efa3e0de0e8	[Fabricius, J. C.]. (1807). In Illiger, J. C.: Die neueste Gattungs-Eintheilung der Schmetterlinge aus den Linnéischen Gattungen Papilio und Sphinx. Magazin Für Insektenkunde (Illiger), 6, 277–295. (288, 294).	Fabricius, J.C.	Illiger, J.C.	Die neueste Gattungs-Eintheilung der Schmetterlinge aus den Linnéischen Gattungen Papilio und Sphinx	Magazin Für Insektenkunde (Illiger), 6	01/01/1807	288, 294			de
Miscellaneous	bba0407b750c694d6946ca664b41820e	[Haworth, A. H.]. (1802). Prodromus Lepidopterorum Britannicorum. A concise Catalogue of British Lepidopterous Insects, with the Times and Places of Appearance in the Winged State, 39+6 pp. – Holt. (5-6).	Haworth, A.H.			Prodromus Lepidopterorum Britannicorum. A concise Catalogue of British Lepidopterous Insects, with the Times and Places of Appearance in the Winged State	01/01/1802	5-6			en
Journal Article	ae25cb09203ad70bfb10f8c727ec89c9	Agassiz, D., & Kallies, A. (2018). A new genus and species of myrmecophile clearwing moth (Lepidoptera: Sesiidae) from East Africa. Zootaxa, 4392, 588–594.	Agassiz, D. and A. Kallies		A new genus and species of myrmecophile clearwing moth (Lepidoptera: Sesiidae) from East Africa	Zootaxa, 4392	01/01/2018	588–594			en
Journal Article	ce454ff5d0014b1d705dc1cd76a42b86	Agassiz, J. L. R. (1847). Nomenclatoris zoologici index universalis. Nomenclator Zoologicus, 2(1846), 393 pp. (319).	Agassiz, J.L.		Nomenclatoris zoologici index universalis	Nomenclator Zoologicus, 2(1846)	01/01/1847	319			zu
Journal Article	74a36babb7d9a303c725984727d99ca9	Alpheraky, S. N. (1882). Lépidoptères du district de Kouldjà et des montagnes environnantes. IIème Partie. Heterocera. Horae Societatis Entomologicae Rossicae, 17, 15–103, pls 1–3. (18–22, pl. 1).	Alpheraky, S.N.		Lépidoptères du district de Kouldjà et des montagnes environnantes. IIème Partie. Heterocera	Horae Societatis Entomologicae Rossicae, 17	01/01/1882	18-22			fr
Miscellaneous	d2211eb3e4e9af199875cb35a7c9f5cb	Arita, & Kallies. (2005). see Kallies, A. & Arita, Y. (2005).	Kallies, A. and Y. Arita			unknown	01/01/2005				
Miscellaneous	a6e50f3e15f67eed4980c6b9a50b757b	Arita, & Kimura. (2016). see Arita, Y., Kimura, M., Yata, N. & Nagase, M. (2016).	Arita, Y., M. Kimura, N. Yata, and M. Nagase			unknown	01/01/2016				
Miscellaneous	2abf00b3a0294c9d0a8a7f1555b5d169	Arita, & Nagase. (2016). see Arita, Y., Kimura, M., Yata, N. & Nagase, M. (2016).	Arita, Y., M. Kimura, N. Yata, and M. Nagase			unknown	01/01/2016				
Miscellaneous	06daac9663bcbb74d2f502281aa80738	Arita, & Yata. (2016). see Arita, Y., Kimura, M., Yata, N. & Nagase, M. (2016).	Arita, Y., M. Kimura, N. Yata, and M. Nagase			unknown	01/01/2016				
Journal Article	9aafcc72ae03b5259a19a4b5e907a4fd	Arita, Y. (1989). Two New and an Unrecorded Clearwing Moths (Lepidoptera: Sesiidae) from Thailand. Microlepidoptera of Thailand, 2, 9–14.	Arita, Y.		Two New and an Unrecorded Clearwing Moths (Lepidoptera: Sesiidae) from Thailand	Microlepidoptera of Thailand, 2	01/01/1989	9–14			en
Journal Article	370ecd968b1e0668cb7b8cd164bec8d5	Arita, Y. (1992). A new subspecies of Macroscelesia longipes (Moore) (Lepidoptera, Sesiidae) from Japan. Tyo to Ga, 43, 221–224.	Arita, Y.		A new subspecies of Macroscelesia longipes (Moore) (Lepidoptera, Sesiidae) from Japan	Tyo to Ga, 43	01/01/1992	221–224			en
Journal Article	aa41fe4f3afb587e5eaf669ef6b09e21	Arita, Y. (1992). The Genus Pennisetia Dehne (Lepidoptera, Sesiidae) of Japan. Japanese Journal of Entomology, 60, 449–462.	Arita, Y.		The Genus Pennisetia Dehne (Lepidoptera, Sesiidae) of Japan	Japanese Journal of Entomology, 60	01/01/1992	449–462			af
Journal Article	549f53436abedebb59b4ee4214ee7389	Arita, Y. (1993). A new species of the clearwing moth genus Trichocerota (Lepidoptera, Sesiidae) from Yakushima Island, Japan. Tyo to Ga, 44, 77–80.	Arita, Y.		A new species of the clearwing moth genus Trichocerota (Lepidoptera, Sesiidae) from Yakushima Island, Japan	Tyo to Ga, 44	01/01/1993	77–80			en
Journal Article	544486522b20ea384b68f9e5dcb7cbb3	Arita, Y., & Gorbunov, O. (1995). A review of the genus Macrotarsipus Hampson, [1893] (Lepidoptera, Sesiidae) of the Oriental region. Transactions of the Lepidopterological Society of Japan, 46, 103–111.	Arita, Y. and O. Gorbunov		A review of the genus Macrotarsipus Hampson, [1893] (Lepidoptera, Sesiidae) of the Oriental region	Transactions of the Lepidopterological Society of Japan, 46	01/01/1995	103–111			en
Journal Article	03f6ebe129c9f1ae0bf9ccc16ad8aa0c	Arita, Y., & Gorbunov, O. (1995). Sesiidae of Nepal. In Haruta, T. (ed.): Moths of Nepal. Tinea, 14, 194–206, pls 108+128.	Arita, Y. and O. Gorbunov	Haruta, T.	Sesiidae of Nepal	Moths of Nepal. Tinea, 14	01/01/1995	194–206			et
Journal Article	5f889dc64b0407b384610c5f07cbeb4e	Arita, Y., & Gorbunov, O. (1996). New and unrecorded clearwing moths of the genus Melittia Hübner, [1819] (Lepidoptera, Sesiidae) from Thailand. Transactions of the Lepidopterological Society of Japan, 47, 157–173.	Arita, Y. and O. Gorbunov		New and unrecorded clearwing moths of the genus Melittia Hübner, [1819] (Lepidoptera, Sesiidae) from Thailand	Transactions of the Lepidopterological Society of Japan, 47	01/01/1996	157–173			en
Journal Article	82cd8d6da0ccc9bdfa09fd017d53d86b	Arita, Y., & Gorbunov, O. (1997). Description of a new Melittia clearwing moth (Lepidoptera, Sesiidae) from Kyushu, Japan. Transactions of the Lepidopterological Society of Japan, 48, 33–38.	Arita, Y. and O. Gorbunov		Description of a new Melittia clearwing moth (Lepidoptera, Sesiidae) from Kyushu, Japan	Transactions of the Lepidopterological Society of Japan, 48	01/01/1997	33–38			en
Journal Article	77e7dea1f7559d14391d6e461ff04bf0	Arita, Y., & Gorbunov, O. (2000). Notes on the tribe Osminiini (Lepidoptera, Sesiidae) from Vietnam, with descriptions of new taxa. Transactions of the Lepidopterological Society of Japan, 51, 49–74.	Arita, Y. and O. Gorbunov		Notes on the tribe Osminiini (Lepidoptera, Sesiidae) from Vietnam, with descriptions of new taxa	Transactions of the Lepidopterological Society of Japan, 51	01/01/2000	49–74			en
Journal Article	41ca0e3f46f985727b104320fafdc42b	Arita, Y., & Gorbunov, O. (2000). On the knowledge of the genus Chamanthedon Le Cerf, 1916 (Lepidoptera, Sesiidae, Osminiini) of Vietnam and adjacent countries. Transactions of the Lepidopterological Society of Japan, 51, 205–214.	Arita, Y. and O. Gorbunov		On the knowledge of the genus Chamanthedon Le Cerf, 1916 (Lepidoptera, Sesiidae, Osminiini) of Vietnam and adjacent countries	Transactions of the Lepidopterological Society of Japan, 51	01/01/2000	205–214			en
Journal Article	0c10be56ae99301aa0492784de711806	Arita, Y., & Gorbunov, O. (2000). On the tribe Melittiini (Lepidoptera, Sesiidae) of Vietnam. Tinea, 16, 252–291.	Arita, Y. and O. Gorbunov		On the tribe Melittiini (Lepidoptera, Sesiidae) of Vietnam	Tinea, 16	01/01/2000	252–291			et
Journal Article	26020d2c91ae5895c0a023647ae2f6a5	Arita, Y., & Gorbunov, O. (2001). Sesiidae of Taiwan. I. The Tribes Tinthiini, Similipepsini, Paraglosseciini, Pennisetiini, Paranthrenini and Cissuvorini. Japanese Journal of Systematic Entomology, 7, 131–188.	Arita, Y. and O. Gorbunov		Sesiidae of Taiwan. I. The Tribes Tinthiini, Similipepsini, Paraglosseciini, Pennisetiini, Paranthrenini and Cissuvorini	Japanese Journal of Systematic Entomology, 7	01/01/2001	131–188			et
Journal Article	23392ce48ae6b45ac93888aede94213f	Arita, Y., & Gorbunov, O. (2002). A new species of the genus Trichocerota Hampson (Lepidoptera, Sesiidae) from Taiwan. Transactions of the Lepidopterological Society of Japan, 53, 241–244.	Arita, Y. and O. Gorbunov		A new species of the genus Trichocerota Hampson (Lepidoptera, Sesiidae) from Taiwan	Transactions of the Lepidopterological Society of Japan, 53	01/01/2002	241–244			en
Journal Article	7b44991ab6c0c1246d6a2b6b6396f253	Arita, Y., & Gorbunov, O. G. (2002). Sesiidae of Taiwan. II. The tribes Osminiini, Melittiini and Sesiini. Japanese Journal of Systematic Entomology, 8, 199–241.	Arita, Y. and O.G. Gorbunov		Sesiidae of Taiwan. II. The tribes Osminiini, Melittiini and Sesiini	Japanese Journal of Systematic Entomology, 8	01/01/2002	199–241			xh
Journal Article	cd9b380b8a39c793b3d6d7224e59432e	Arita, Y., & Gorbunov, O. G. (2003). In Arita, Y., Gorbunov, O. G. & Mohamed, M.: On the knowledge of the clearwing moth (Lepidoptera, Sesiidae) of the Maliau Basin, Sabah, Borneo. Transactions of the Lepidopterological Society of Japan, 54, 131–142.	Arita, Y. and O.G. Gorbunov	Arita, Y., O.G. Gorbunov, and M. Mohamed	On the knowledge of the clearwing moth (Lepidoptera, Sesiidae) of the Maliau Basin, Sabah, Borneo	Transactions of the Lepidopterological Society of Japan, 54	01/01/2003	131–142			en
Journal Article	370ac5ac35dd91cfb411715a52e8eb9a	Arita, Y., & Gorbunov, O. G. (2003). New taxa of wasp-waisted clearwing moths (Lepidoptera, Sesiidae, Similipepsini) from Vietnam. Transactions of the Lepidopterological Society of Japan, 54, 11–19.	Arita, Y. and O.G. Gorbunov		New taxa of wasp-waisted clearwing moths (Lepidoptera, Sesiidae, Similipepsini) from Vietnam	Transactions of the Lepidopterological Society of Japan, 54	01/01/2003	11–19			en
Journal Article	1c15aeeb7e290472e9a5b2499ace769f	Arita, Y., & Kallies, A. (2000). A new and an unrecorded species of Melittia (Lepidoptera, Sesiidae) from North Vietnam. Transactions of the Lepidopterological Society of Japan, 52, 51–57.	Arita, Y. and A. Kallies		A new and an unrecorded species of Melittia (Lepidoptera, Sesiidae) from North Vietnam	Transactions of the Lepidopterological Society of Japan, 52	01/01/2000	51–57			en
Journal Article	594f46775d3271a6ea879379b95d1bad	Arita, Y., & Kallies, A. (2003). A new species of the genus Trilochana Moore, 1879 (Lepidoptera, Sesiidae) from Sulawesi. Transactions of the Lepidopterological Society of Japan, 54, 229–232.	Arita, Y. and A. Kallies		A new species of the genus Trilochana Moore, 1879 (Lepidoptera, Sesiidae) from Sulawesi	Transactions of the Lepidopterological Society of Japan, 54	01/01/2003	229–232			en
Journal Article	e70e4b7921e74a50d77cfee0ffb91043	Arita, Y., & Riefenstahl, H. G. (2004). A new Scoliokona Kallies & Arita, 1998 (Lepidoptera: Sesiidae, Paranthrenini) from south-east Asia, with list of literature on oriental Sesiidae published since 1988. Entomologische Zeitschrift, 114, 116–120.	Arita, Y. and H.G. Riefenstahl		A new Scoliokona Kallies & Arita, 1998 (Lepidoptera: Sesiidae, Paranthrenini) from south-east Asia, with list of literature on oriental Sesiidae published since 1988	Entomologische Zeitschrift, 114	01/01/2004	116–120			en
Journal Article	b292fe1c42dcca92babee1aa63f9c937	Arita, Y., & Špatenka, K. (1989). A New Species of Similipepsis (Lepidoptera, Sesiidae) from Japan. Japanese Journal of Entomology, 57, 61–66.	Arita, Y. and K. Špatenka		A New Species of Similipepsis (Lepidoptera, Sesiidae) from Japan	Japanese Journal of Entomology, 57	01/01/1989	61–66			en
Journal Article	c3c76cfbe49b9e137e7dfe9a45ae7236	Arita, Y., & Toševski, I. (1992). In Toševski, I. & Arita, Y.: A New Species of the Clearwing Moth Genus Nokona (Lepidoptera, Sesiidae) from the Ryukyus. Japanese Journal of Entomology, 60, 619–623.	Arita, Y. and I. Toševski	Toševski, I. and Y. Arita	A New Species of the Clearwing Moth Genus Nokona (Lepidoptera, Sesiidae) from the Ryukyus	Japanese Journal of Entomology, 60	01/01/1992	619–623			en
Miscellaneous	6af043344ee6c177a5a2c623817eee08	Arita, Y., & Xu, Z. (1994). In Arita, Y., Xu, Z. & Liu, X.: A new Sesia (Lepidoptera, Sesiidae), clearwing borer on Pecan from Nanjing, China. Tinea, 14, 61–64.	Arita, Y. and Z. Xu	Arita, Y., Z. Xu, X. Liu, and A. Sesia	A new Sesia (Lepidoptera, Sesiidae), clearwing borer on Pecan from Nanjing, China	Tinea, 14	01/01/1994	61–64			en
Journal Article	4646ea2afe20d36fc408aefd737f1530	Arita, Y., & Xu, Z. (1994). In Arita, Y., Xu, Z. & Liu, X.: Description of a new Sesia clearwing moth injuring poplar street trees in Lhasa, Tibet (Lepidoptera, Sesiidae). Tyo to Ga, 45, 193–199.	Arita, Y. and Z. Xu	Arita, Y., Z. Xu, and X. Liu	Description of a new Sesia clearwing moth injuring poplar street trees in Lhasa, Tibet (Lepidoptera, Sesiidae)	Tyo to Ga, 45	01/01/1994	193–199			en
Journal Article	342ac4c2f2c5b85a45ba40a5ac89f09c	Arita, Y., & Yata, N. (1987). Descriptions of two new species of Melittia (Lepidoptera: Sesiidae) of Japan. Tinea, 12, 158–167.	Arita, Y. and N. Yata		Descriptions of two new species of Melittia (Lepidoptera: Sesiidae) of Japan	Tinea, 12	01/01/1987	158–167			en
Journal Article	f9a73d79726008ad171ebf4af12f7d9c	Arita, Y., Kallies, A. & & Yata, N. (2019). A large hornet mimic clearwing moth of the genus Lamellisphecia Kallies & Arita, 2004 (Lepidoptera, Sesiidae) from Nanling, Guangdong, southern China. Zootaxa, 4706, 447–482.	Arita, Y., A. Kallies, and N. Yata		A large hornet mimic clearwing moth of the genus Lamellisphecia Kallies & Arita, 2004 (Lepidoptera, Sesiidae) from Nanling, Guangdong, southern China	Zootaxa, 4706	01/01/2019	447–482			en
Journal Article	a2cb1abfa0478605d35adcee4ff9f994	Arita, Y., Kimura, M., & Owada, M. (2009). Two new species of the clearwing moth (Sesiidae) from Okinawa-jima, the Ryukyus. Transactions of the Lepidopterological Society of Japan, 60, 189–192.	Arita, Y., M. Kimura, and M. Owada		Two new species of the clearwing moth (Sesiidae) from Okinawa-jima, the Ryukyus	Transactions of the Lepidopterological Society of Japan, 60	01/01/2009	189–192			en
Journal Article	df8e459a1bf5203f979c20862970287a	Aurivillius, P. O. C. (1879). Lepidoptera Damarensia. Förteckning pa fjärilar insamlade i Damaralandet af G. de Vylder aren 1873 och 1874 jemte beskrifning öfver förut okända arter. Öfversigt Af Kongliga Vetenskaps-Akademiens Förhandlingar, 36, 39–69. (47–48).	Aurivillius, P.O.C.		Lepidoptera Damarensia. Förteckning pa fjärilar insamlade i Damaralandet af G. de Vylder aren 1873 och 1874 jemte beskrifning öfver förut okända arter	Öfversigt Af Kongliga Vetenskaps-Akademiens Förhandlingar, 36	01/01/1879	47-48			sv
Journal Article	084afc3ff1e84d9825123d63ef78a232	Aurivillius, P. O. C. (1905). Lieutnant A. Schultzes Sammlung von Lepidopteren aus West-Afrika. Arkiv För Zoologi, 2, 1–47, 5 pls. (43–46).	Aurivillius, P.O.		Lieutnant A. Schultzes Sammlung von Lepidopteren aus West-Afrika	Arkiv För Zoologi, 2	01/01/1905	43–46			de
Journal Article	faa9678ec083ec4246c8cdc0b810e892	Aurivillius, P. O. C. (1909). Lepidoptera, Rhopalocera und Heterocera (Pars I) von Madagaskar, den Comoren und den Inseln Ostafrikas. In Voeltzkow, A.: Reise in Ostafrika in den Jahren 1903-1905, Wissenschaftliche Ergebnisse 2, [309]-348, 19 pls. (342, pl. 19).	Aurivillius, P.O.	Voeltzkow, A.	Lepidoptera, Rhopalocera und Heterocera (Pars I) von Madagaskar, den Comoren und den Inseln Ostafrikas	Reise in Ostafrika in den Jahren 1903-1905, Wissenschaftliche Ergebnisse 2	01/01/1909	342			de
Journal Article	706f2e145d0abb4ffc2883d9adea2fc3	Bakowski, M., Bartsch, D., & Kallies, A. (2008). A Review of the Similipepsini of the Afrotropical Region (Lepidoptera: Sesiidae: Tinthiini). Annales Zoologici, 58, 785–797.	Bakowski, M., D. Bartsch, and A. Kallies,		A Review of the Similipepsini of the Afrotropical Region (Lepidoptera: Sesiidae: Tinthiini)	Annales Zoologici, 58	01/01/2008	785–797			en
Journal Article	cbc3db6b2bc684a67a950ea646cdb771	Barnes, W., & Benjamin, F. H. (1925). Change of a Preoccupied Name (Lepidoptera: Aegeriidae). Proceedings of the Entomological Society of Washington, 27, 14.	Barnes, W. and F.H. Benjamin		Change of a Preoccupied Name (Lepidoptera: Aegeriidae)	Proceedings of the Entomological Society of Washington, 27	01/01/1925	14			en
Book Chapter	3ee5aa84eec1d07dbc0a3ef8b59936bb	Barnes, W., & Lindsey, A. W. (1922). Descriptions of Two New Species of Aegeriidae (Lep.). Bulletin of the Brooklyn Entomological Society (N.S.), 18, 122–123.	Barnes, W. and A.W. Lindsey		Descriptions of Two New Species of Aegeriidae (Lep)	Bulletin of the Brooklyn Entomological Society (N.S.), 18	01/01/1922	122–123			en
Book	03b32b30079a8dca50ea84a91e4904c1	Bartel, M. (1902). Die palaearktischen Grossschmetterlinge und ihre Naturgeschichte. Zweiter Band: Nachtfalter. I. Abteilung, 239-384. – Leipzig.	Bartel, M.		Zweiter Band: Nachtfalter. I. Abteilung	Die palaearktischen Grossschmetterlinge und ihre Naturgeschichte	01/01/1902	239-384		Leipzig	de
Journal Article	d9ec3ea6d973fea4762dd3d3174d857a	Bartel, M. (1906). Drei neue russische Sesia-Arten. Societas Entomologica, 20, 169–170.	Bartel, M.		Drei neue russische Sesia-Arten	Societas Entomologica, 20	01/01/1906	169–170			gl
Journal Article	75464628e7a27b87d6c2484b715924e5	Bartel, M. (1906). Eine neue Sesia-Art aus der Schweiz. Entomologische Zeitschrift (Guben), 19, 190–191.	Bartel, M.		Eine neue Sesia-Art aus der Schweiz	Entomologische Zeitschrift (Guben), 19	01/01/1906	190–191			de
Book Chapter	5c898fe319b1d7b073211348a6cba234	Bartel, M. (1912). 24. Familie: Aegeriidae (Sesiidae). In Seitz, A. (ed.): Die Großschmetterlinge Der Erde, 2, 375–416, pls 51–52.	Bartel, M.	Seitz, A.	24. Familie: Aegeriidae (Sesiidae)	Die Großschmetterlinge Der Erde, 2	01/01/1912	375–416			af
Miscellaneous	149cf5a72f86627757d02083f69e4321	Bartsch, & Sáfián. (2022). see Sáfián, S. & Bartsch, D. (2022).	Sáfián, S. and D. Bartsch			unknown	01/01/2022				
Miscellaneous	eb0de39d14d9a3701095b1d909d91064	Bartsch, & Sáfián. (2023). see Bartsch, D., Sáfián, S. & Wanke, D. (2023a).	Bartsch, D., S. Sáfián, and D. Wanke			unknown	01/01/2023				
Miscellaneous	fa6675c959094f4d36dd972eac2d7cce	Bartsch, & Sáfián. (2023). see Bartsch, D., Sáfián, S. & Wanke, D. (2023b).	Bartsch, D., S. Sáfián, and D. Wanke			unknown	01/01/2023				
Journal Article	30cece2dd973d1bbc01a544a7ab030c1	Bartsch, D. (2003). Beitrag zur Glasflüglerfauna von Nepal (Lepidoptera: Sesiidae). Entomologische Zeitschrift, 113, 145, 149–151.	Bartsch, D.		Beitrag zur Glasflüglerfauna von Nepal (Lepidoptera: Sesiidae)	Entomologische Zeitschrift, 113	01/01/2003	145, 149–151			de
Journal Article	8f59fdc56b00adce80086024e782c0e4	Bartsch, D. (2004). Die Sesienfauna Zyperns - eine kommentierte Übersicht (Lepidoptera: Sesiidae). Entomologische Zeitschrift, 114, 80–86.	Bartsch, D.		Die Sesienfauna Zyperns - eine kommentierte Übersicht (Lepidoptera: Sesiidae)	Entomologische Zeitschrift, 114	01/01/2004	80–86			de
Journal Article	1a009b9709fbbdfc1d53eaef24b93461	Bartsch, D. (2008). A review of the Paranthrenini of the Afrotropical region (Lepidoptera: Sesiidae). Entomologische Zeitschrift, 118, 265–280.	Bartsch, D.		A review of the Paranthrenini of the Afrotropical region (Lepidoptera: Sesiidae)	Entomologische Zeitschrift, 118	01/01/2008	265–280			en
Journal Article	f3b154d3cce0f5311f4f1fbd1c8ec3c3	Bartsch, D. (2009). Melittosesia, a new genus of clearwing moths with a review of the Sesiini Boisduval, 1828 in Madagascar (Lepidoptera: Sesiidae). Entomologische Zeitschrift, 119, 9–16.	Bartsch, D.		Melittosesia, a new genus of clearwing moths with a review of the Sesiini Boisduval, 1828 in Madagascar (Lepidoptera: Sesiidae)	Entomologische Zeitschrift, 119	01/01/2009	9–16			en
Journal Article	cacc740a7c46e6df1216fd98c8c482ef	Bartsch, D. (2013). Revisionary checklist of the Southern African Sesiini (Lepidoptera: Sesiidae) with description of new species. Zootaxa, 3741, 1–54.	Bartsch, D.		Revisionary checklist of the Southern African Sesiini (Lepidoptera: Sesiidae) with description of new species	Zootaxa, 3741	01/01/2013	1–54			en
Journal Article	fc537e794960e46b705b098cae53a70c	Bartsch, D. (2015). New taxa of southern African Sesiini (Lepidoptera: Sesiidae). Zootaxa, 3956, 428–436.	Bartsch, D.		New taxa of southern African Sesiini (Lepidoptera: Sesiidae)	Zootaxa, 3956	01/01/2015	428–436			fi
Journal Article	67c6849c8082703cba53b10f9c230e38	Bartsch, D. (2016). Melittia fiebigi spec. nov. and Afromelittia caerulea spec. nov., two new Melittiini from southern Africa (Lepidoptera: Sesiidae). Annals of the Ditsong National Museum of Natural History, 6, 109–115.	Bartsch, D.		Melittia fiebigi spec. nov. and Afromelittia caerulea spec. nov., two new Melittiini from southern Africa (Lepidoptera: Sesiidae)	Annals of the Ditsong National Museum of Natural History, 6	01/01/2016	109–115			en
Journal Article	c28e462f69cc4d75abb8bf639a4ab0c9	Bartsch, D. (2016). Revisionary checklist of the southern African Osminiini (Lepidoptera: Sesiidae). Stuttgarter Beiträge Zur Naturkunde A, Neue Serie, 9, 229–265.	Bartsch, D.		Revisionary checklist of the southern African Osminiini (Lepidoptera: Sesiidae)	Stuttgarter Beiträge Zur Naturkunde A, Neue Serie, 9	01/01/2016	229–265			en
Journal Article	0fc851a2d16b3c440e0ed133630a06f7	Bartsch, D. (2017). Hyleina kaphetea, a new genus and species of clearwing moths from tropical Africa (Lepidoptera: Sesiidae: Sesiini). Zootaxa, 4286, 425–430.	Bartsch, D.		Hyleina kaphetea, a new genus and species of clearwing moths from tropical Africa (Lepidoptera: Sesiidae: Sesiini)	Zootaxa, 4286	01/01/2017	425–430			en
Journal Article	2e6122159220026bde6142471d2e78a8	Bartsch, D. (2018). Revision of Gymnosophistis Meyrick, 1934 (Lepidoptera: Sesiidae) from East Africa with description of a new species. Zootaxa, 4532, 145–150.	Bartsch, D.		Revision of Gymnosophistis Meyrick, 1934 (Lepidoptera: Sesiidae) from East Africa with description of a new species	Zootaxa, 4532	01/01/2018	145–150			en
Journal Article	d5b4fa07c8ed8b1bafd3f90747eade9e	Bartsch, D. (2018). Taxonomic changes in Synanthedonini from Madagascar, with description of two new genera and species (Lepidoptera: Sesiidae). Zootaxa, 4433, 174–186.	Bartsch, D.		Taxonomic changes in Synanthedonini from Madagascar, with description of two new genera and species (Lepidoptera: Sesiidae)	Zootaxa, 4433	01/01/2018	174–186			en
Journal Article	e19d05122ce8c11257445bf4e068442e	Bartsch, D. & Sáfián, S. (2019). Further information on Lolibaia Gorbunov & Gurko, 2017 (Lepidoptera: Sesiidae: Synanthedonini) with description of three new species from tropical Africa. Zootaxa, 4559, 339–348.	Bartsch, D. and S. Sáfián		Further information on Lolibaia Gorbunov & Gurko, 2017 (Lepidoptera: Sesiidae: Synanthedonini) with description of three new species from tropical Africa	Zootaxa, 4559	01/01/2019	339–348			en
Journal Article	956bca0ea7d1bad87855cd9d87481cf7	Bartsch, D., & Berg, J. (2012). New species and review of the Afrotropical clearwing moth genus Camaegeria Strand, 1914 (Lepidoptera: Sesiidae: Synanthedonini). Zootaxa, 3181, 28–46.	Bartsch, D. and J. Berg		New species and review of the Afrotropical clearwing moth genus Camaegeria Strand, 1914 (Lepidoptera: Sesiidae: Synanthedonini)	Zootaxa, 3181	01/01/2012	28–46			en
Book	ace81173e3554d535f23cfc3b322a946	Bartsch, D., & Bettag, E. (1997). Eine neue Art der Gattung Bembecia Hübner, 1819 aus Südwesteuropa: Bembecia psoraleae spec. nov. (Lepidoptera: Sesiidae). Nachrichten Des Entomologischen Vereins Apollo, N.F., 18, 29–40.	Bartsch, D. and E. Bettag		Eine neue Art der Gattung Bembecia Hübner, 1819 aus Südwesteuropa: Bembecia psoraleae spec. nov. (Lepidoptera: Sesiidae)	Nachrichten Des Entomologischen Vereins Apollo, N.F., 18	01/01/1997	29-40			de
Journal Article	b07d873aeee78293adacb164decad7fa	Bartsch, D., & Kallies, A. (2008). Zur Kenntnis einiger Arten von Chamaesphecia Spuler, 1910 in Marokko (Lepidoptera: Sesiidae). Entomologische Zeitschrift, 118, 85–93.	Bartsch, D. and A. Kallies		Zur Kenntnis einiger Arten von Chamaesphecia Spuler, 1910 in Marokko (Lepidoptera: Sesiidae)	Entomologische Zeitschrift, 118	01/01/2008	85–93			de
Journal Article	8f407c2945bcbea22aa8f60d05de991f	Bartsch, D., & Lingenhöle, A. (2011). Chamaesphecia cilicia sp. nov. aus dem Taurus Gebirge, Türkei (Lepidoptera: Sesiidae). Entomologische Zeitschrift, 121, 89–91.	Bartsch, D. and A. LingenhöLe		Chamaesphecia cilicia sp. nov. aus dem Taurus Gebirge, Türkei (Lepidoptera: Sesiidae)	Entomologische Zeitschrift, 121	01/01/2011	89–91			de
Journal Article	3fcd7d21a80c92b2c8796675b6c204e9	Bartsch, D., & Pühringer, F. (2005). Die Glasflügler Kretas (Lepidoptera: Sesiidae). Entomologische Zeitschrift, 115, 131–139.	Bartsch, D. and F. Pühringer		Die Glasflügler Kretas (Lepidoptera: Sesiidae)	Entomologische Zeitschrift, 115	01/01/2005	131–139			de
Journal Article	a2e4a64a6bb9b412b997d99d59d8deb3	Bartsch, D., & Sáfián, S. (2022). Taxonomic changes and review of the genera Tipulamima Holland, 1893 and Macrotarsipodes Le Cerf, 1916 stat. rev. (Lepidoptera: Sesiidae: Sesiinae). – Zootaxa 5094(1), 103-128.	Bartsch, D. and S. Sáfián		Taxonomic changes and review of the genera Tipulamima Holland, 1893 and Macrotarsipodes Le Cerf, 1916 stat. rev. (Lepidoptera: Sesiidae: Sesiinae)	Zootaxa, 5094(1)	01/01/2022	103–128			en
Journal Article	99f02e13c9c4deac0c895f76a3646eed	Bartsch, D., & Špatenka, K. (2002). Dipchasphecia sertavula sp. nov. aus der Südtürkei (Lepidoptera: Sesiidae). Entomologische Zeitschrift, 112, 78–80.	Bartsch, D. and K. Špatenka		Dipchasphecia sertavula sp. nov. aus der Südtürkei (Lepidoptera: Sesiidae)	Entomologische Zeitschrift, 112	01/01/2002	78–80			de
Journal Article	870016996f9b117e427180d7fc76de20	Bartsch, D., & Špatenka, K. (2010). Bembecia magnifica und Bembecia afghana, zwei neue Glasflügler Arten aus Afghanistan (Lepidoptera, Sesiidae). Entomologische Zeitschrift, 120, 243–248.	Bartsch, D. and K. Špatenka		Bembecia magnifica und Bembecia afghana, zwei neue Glasflügler Arten aus Afghanistan (Lepidoptera, Sesiidae)	Entomologische Zeitschrift, 120	01/01/2010	243–248			de
