dwc:taxonID	dwc:parentNameUsageID	dwc:acceptedNameUsageID	dwc:originalNameUsageID	dwc:scientificNameID	dwc:datasetID	dwc:taxonomicStatus	dwc:taxonRank	dwc:scientificName	dwc:scientificNameAuthorship	col:notho	dwc:genericName	dwc:infragenericEpithet	dwc:specificEpithet	dwc:infraspecificEpithet	dwc:cultivarEpithet	dwc:nameAccordingTo	dwc:namePublishedIn	dwc:nomenclaturalCode	dwc:nomenclaturalStatus	dwc:taxonRemarks	dcterms:references
1e34a7f7-1d5d-44e7-85c2-a2408058ef10		241201f5-71c5-42a8-bc5f-06dccc0e8520		1e34a7f7-1d5d-44e7-85c2-a2408058ef10		synonym	species	Ectoedemia capesella (Puplesis in Puplesis & Ivinskis, 1985) Hirano, 2013	(Puplesis in Puplesis & Ivinskis, 1985) Hirano, 2013		Ectoedemia		capesella				Hirano N. Nepticulidae. In: Hirowatari T, Nasu Y, Sakamaki Y, Kishida Y (Eds) Nihon-san garui hyojun zukan The standard of moths in Japan. Gakken Kyoiku Shuppan, Tokyo, 80-96, pls 83-03 - 83-06. (2013).	ICZN			
36fa5842-2ebd-414e-acff-492e0fffceb9		241201f5-71c5-42a8-bc5f-06dccc0e8520		36fa5842-2ebd-414e-acff-492e0fffceb9		synonym	species	Obrussa capesella Puplesis in Puplesis & Ivinskis, 1985	Puplesis in Puplesis & Ivinskis, 1985		Obrussa		capesella				Puplesis RK, Ivinskis PP. Obzor fauny moleï-malyutok roda Obrussa Braun SSSR i opisanie 4 novykh vidov Obrussa capesella sp. n., O. tigrinella sp. n., O. peterseni sp. n., O. sabina sp. n. [Review of nepticulid moths fauna of the Obrussa Braun genus in the USSR and a description o. Trudy Akademii Nauk Litovskoi SSR Seriya C 92: 36-46. (1985).	ICZN			
c92c4586-e9f4-49ad-a9c8-b7682d01cbc3		3172e009-6b09-4640-a2e9-8f693172ca3d		c92c4586-e9f4-49ad-a9c8-b7682d01cbc3		synonym	species	Nepticula crypsixantha Meyrick, 1918	Meyrick, 1918		Nepticula		crypsixantha				Meyrick E. Descriptions of South African Micro-Lepidoptera. Annals of the Transvaal Museum 6: 7-59. (1918).	ICZN			
7519dc16-1ba8-4251-8b38-872bceba4f80		3172e009-6b09-4640-a2e9-8f693172ca3d		7519dc16-1ba8-4251-8b38-872bceba4f80		synonym	species	Obrussa crypsixantha (Meyrick, 1918) Scoble, 1983	(Meyrick, 1918) Scoble, 1983		Obrussa		crypsixantha				Scoble MJ. A revised cladistic classification of the Nepticulidae (Lepidoptera) with descriptions of new taxa mainly from South Africa. Transvaal Museum Monograph 2: 1-105. doi: http://hdl.handle.net/10499/AJ10150. (1983).	ICZN			
0eac5861-f112-4888-8f87-7abf11706a32		3172e009-6b09-4640-a2e9-8f693172ca3d		0eac5861-f112-4888-8f87-7abf11706a32		synonym	species	Ectoedemia crypsixantha (Meyrick, 1918) online combination	(Meyrick, 1918) online combination		Ectoedemia		crypsixantha				Meyrick E. Descriptions of South African Micro-Lepidoptera. Annals of the Transvaal Museum 6: 7-59. (1918).	ICZN			
6e8396f1-8ddf-40a7-a470-483605dfc78a		1698f8bf-7469-4d39-9889-854290b72f58		6e8396f1-8ddf-40a7-a470-483605dfc78a		synonym	species	Obrussa zimbabwiensis Scoble, 1983	Scoble, 1983		Obrussa		zimbabwiensis				Scoble MJ. A revised cladistic classification of the Nepticulidae (Lepidoptera) with descriptions of new taxa mainly from South Africa. Transvaal Museum Monograph 2: 1-105. doi: http://hdl.handle.net/10499/AJ10150. (1983).	ICZN			
696e6a9c-4711-4849-aa25-eeeec164c99b		1698f8bf-7469-4d39-9889-854290b72f58		696e6a9c-4711-4849-aa25-eeeec164c99b		synonym	species	Ectoedemia zimbabwiensis (Scoble, 1983) online combination	(Scoble, 1983) online combination		Ectoedemia		zimbabwiensis				Scoble MJ. A revised cladistic classification of the Nepticulidae (Lepidoptera) with descriptions of new taxa mainly from South Africa. Transvaal Museum Monograph 2: 1-105. doi: http://hdl.handle.net/10499/AJ10150. (1983).	ICZN			
e8477e88-64fe-41f6-9e19-c784ea3da6c3		c3d3c451-9df1-4db9-b80a-d346e5e64897		e8477e88-64fe-41f6-9e19-c784ea3da6c3		synonym	species	Enteucha guajavae Puplesis & Diškus in Puplesis et al., 2002	Puplesis & Diškus in Puplesis et al., 2002		Enteucha		guajavae					ICZN			
e462536a-326e-40c3-9096-d7880b2353b4		802aa5ec-93e0-4691-a4e3-8d317ff69bbb		e462536a-326e-40c3-9096-d7880b2353b4		synonym	species	Stigmella ovata Puplesis & Robinson, 2000	Puplesis & Robinson, 2000		Stigmella		ovata				Puplesis R, Robinson GS. A review of the Central and South American Nepticulidae (Lepidoptera) with special reference to Belize. Bulletin of the Natural History Museum London Entomology 69: 3-114. (2000).	ICZN			
248d8716-7029-42dd-8529-a7f2f2004e76		a0cbd02b-ce2f-42ba-9485-e53782bfaf1b		248d8716-7029-42dd-8529-a7f2f2004e76		synonym	species	Stigmella promissa (Staudinger, 1870) Klimesch, 1951	(Staudinger, 1870) Klimesch, 1951		Stigmella		promissa				Klimesch J. Contributo alla fauna Lepidotterologica del Trentino. Studi Trentini di Scienze Naturali 27: 11-68. (1951).	ICZN			
