scientific_nameID	parent_nameID	accepted_nameID	name_usage	unacceptability_reason	rank_name	taxon_author	unit_name1	unit_name2	unit_name3	unit_name4	geographic_value	origin	referenceID
1589	1501		accepted		Species	Laštuvka & Laštuvka, 1994	Bembecia	fibigeri					
1596	1501		accepted		Species	Špatenka, 1997	Bembecia	peterseni					c7fa1377190bf60cbed9fe5531b13bcb
1593	1501		accepted		Species	Toševski, 1989	Bembecia	pavicevici					860c2883a8d9835331747f612d35014d
1595	1593		accepted		Subspecies	Špatenka, 1997	Bembecia	pavicevici					c7fa1377190bf60cbed9fe5531b13bcb
1594	1593		accepted		Subspecies	Toševski, 1989	Bembecia	pavicevici					860c2883a8d9835331747f612d35014d
1582	1501		accepted		Species	Gorbunov, 1990	Bembecia	syzcjovi					21523a05b8f2fd3d88d0f4fa56fefd3d
1584	1582		accepted		Subspecies	Kallies & Špatenka, 2003	Bembecia	syzcjovi					91740515bdece84ec62f9355d6bd94e0
1583	1582		accepted		Subspecies	Gorbunov, 1990	Bembecia	syzcjovi					21523a05b8f2fd3d88d0f4fa56fefd3d
1581	1501		accepted		Species	Gorbunov, 2019	Bembecia	rossica					a53e84917317459633a689d3946ff151
1586	1501		accepted		Species	(Le Cerf, 1937)	Bembecia	apyra					a24c5c68bc151180fa523b23c8a55777
1588	1586		accepted		Subspecies	Gorbunov, 1995	Bembecia	apyra					e931eadec10ad58bd44c30ce0c4ab244
1587	1586		accepted		Subspecies	(Le Cerf, 1937)	Bembecia	apyra					a24c5c68bc151180fa523b23c8a55777
1586-3069		1586	unaccepted	other, see comments	Species	Gorbunov, 1987	Bembecia	zuvandica					96c1cbf9364bb16156527fefbca9aa06
1586-3068		1586	unaccepted	other, see comments	Species	Le Cerf, 1937	Dipsosphecia	apyra					a24c5c68bc151180fa523b23c8a55777
1585	1501		accepted		Species	(Staudinger, 1889)	Bembecia	vidua					b8e5f27dbe1aed103f456eac0e297b75
1585-3066		1585	unaccepted	other, see comments	Species	Staudinger, 1889	Sesia	vidua					b8e5f27dbe1aed103f456eac0e297b75
1575	1501		accepted		Species	(Staudinger, 1891)	Bembecia	dispar					68147318a7c02101bf03f7365f6a3b2c
1575-3050		1575	unaccepted	other, see comments	Species	Le Cerf, 1916	Dipsosphecia	oberthueri					4bae8b82bf1777d3e3e1ac31fc2aed6e
1575-3049		1575	unaccepted	other, see comments	Species	Staudinger, 1891	Sciapteron	dispar					68147318a7c02101bf03f7365f6a3b2c
1575-3052		1575	unaccepted	other, see comments	Species	Le Cerf, 1920	Dipsosphecia	dumonti					fe8e9042b4d89e9944f33e0744947f90
1575-3051		1575	unaccepted	other, see comments	Variety	(Le Cerf, 1916)	Bembecia	dispar					4bae8b82bf1777d3e3e1ac31fc2aed6e
1575-3054		1575	unaccepted	other, see comments	Species	Le Cerf, 1934	Dipsosphecia	deniba					e31c09de395d56bb8aef6111d80f9a5b
1575-3053		1575	unaccepted	other, see comments	Variety	(Le Cerf, 1920)	Bembecia	dispar					fe8e9042b4d89e9944f33e0744947f90
1575-3055		1575	unaccepted	other, see comments	Species	(Le Cerf, 1934)	Bembecia	deniba					e31c09de395d56bb8aef6111d80f9a5b
1540	1501		accepted		Species	(Lederer, 1853)	Bembecia	lomatiaeformis					1fcb66afda3df7106b5b0af2f285da76
1540-2970		1540	unaccepted	other, see comments	Species	Staudinger, 1856	Sciapteron	gruneri					50a4b4817ded596a70d5004d2c45c3aa
1540-2971		1540	unaccepted	other, see comments	Species	(Staudinger, 1856)	Bembecia	gruneri					50a4b4817ded596a70d5004d2c45c3aa
1540-2969		1540	unaccepted	other, see comments	Species	Lederer, 1853	Sesia	lomatiaeformis					1fcb66afda3df7106b5b0af2f285da76
1540-2974		1540	unaccepted	other, see comments	Species	Le Cerf, 1914	Dipsosphecia	norma					6301740121de10845c49f7ef43c6da33
1540-2975		1540	unaccepted	other, see comments	Form	(Le Cerf, 1914)	Bembecia	lomatiaeformis					6301740121de10845c49f7ef43c6da33
1540-2972		1540	unaccepted	other, see comments	Species	Bartel, 1912	Dipsosphecia	rothschildi					5c898fe319b1d7b073211348a6cba234
1540-2973		1540	unaccepted	other, see comments	Species	(Bartel, 1912)	Bembecia	rothschildi					5c898fe319b1d7b073211348a6cba234
1539	1501		accepted		Species	Garrevoet & Garrevoet, 2011	Bembecia	lingenhoelei					9abf28e5d98b1ca8049ecc0cc25cc74e
1538	1501		accepted		Species	Špatenka & Bartsch, 2010	Bembecia	lastuvkai					1c682e7ee79de081cb600d6066371dcd
1537	1501		accepted		Species	(Hampson, 1906)	Bembecia	lasicera					d9d54a05437c0c3ed7d75e5732c3d534
1537-2965		1537	unaccepted	other, see comments	Species	Hampson, 1906	Trochilium	lasicera					d9d54a05437c0c3ed7d75e5732c3d534
1536	1501		accepted		Species	Kallies, 1996	Bembecia	lamai					0e6f573fd66a8307d5890bb1ed145eac
1535	1501		accepted		Species	Gorbunov, 2023	Bembecia	khovdensis					e444d3e3d6bc286aacd0aee97aa7e2d8
1534	1501		accepted		Species	Gorbunov, 2001	Bembecia	kaabaki					db2ad1dfa1b299913e1b1abdaa46df40
1533	1501		accepted		Species	Bettag, 1997	Bembecia	joesti					821b016d82a3eac1e2c046ae5685c5d2
1533-2960		1533	unaccepted	other, see comments	Species	Herrmann & Hofmann, 1997	Bembecia	karel					2183b4d4bb12abd074d1045d24066f1b
1548	1501		accepted		Species	(Püngeler, 1912)	Bembecia	polyzona					970c961029fdba31ccd6eb9a748ad0f6
1548-2984		1548	unaccepted	other, see comments	Species	Püngeler, 1912	Dipsosphecia	polyzona					970c961029fdba31ccd6eb9a748ad0f6
1547	1501		accepted		Species	Špatenka, Petersen & Kallies, 1997	Bembecia	pogranzona					68327a5975637e72b5b37c4317a34d53
1546	1501		accepted		Species	Gorbunov, 2020	Bembecia	pallasi					21e8a55a39fd8d5e5db050fa024e309b
1545	1501		accepted		Species	Toševski, 1993	Bembecia	pagesi					06350195d4a7ce8ed3bd7d883c68c5ab
1544	1501		accepted		Species	Špatenka & Lingenhöle, 2002	Bembecia	oxytropidis					38b9a688f7d841c7131d7470e361fcba
1543	1501		accepted		Species	Špatenka, 2001	Bembecia	nivalis					20b3454c63390783d354c8b329732da4
1542	1501		accepted		Species	Xu & Liu, 1998	Bembecia	ningxiaensis					34ea98f2f8fc6d4f35f558257d8710b5
1541	1501		accepted		Species	Bartsch & Špatenka, 2010	Bembecia	magnifica					870016996f9b117e427180d7fc76de20
1555	1501		accepted		Species	(Lucas, 1849)	Bembecia	sirphiformis					5c6c95785b0a900473c1ffc37c5e6835
1555-2998		1555	unaccepted	other, see comments	Species	Lucas, 1849	Sesia	sirphiformis					5c6c95785b0a900473c1ffc37c5e6835
1555-3002		1555	unaccepted	other, see comments	Species	(Dalla Torre & Strand, 1925)	Bembecia	syrphiformis					d82db18d3c54ca66cc783e0a56b3a651
1555-3001		1555	unaccepted	other, see comments	Species	Dalla Torre & Strand, 1925	Dipsosphecia	syrphiformis					d82db18d3c54ca66cc783e0a56b3a651
1555-3000		1555	unaccepted	other, see comments	Species	(Le Cerf, 1920)	Bembecia	tunetana					fe8e9042b4d89e9944f33e0744947f90
1555-2999		1555	unaccepted	other, see comments	Species	Le Cerf, 1920	Dipsosphecia	tunetana					fe8e9042b4d89e9944f33e0744947f90
1556	1501		accepted		Species	Xu & Jin, 1999	Bembecia	sophoracola					a474f5eb02ad94641e00045ae748324d
1553	1501		accepted		Species	(Bartel, 1912)	Bembecia	sareptana					5c898fe319b1d7b073211348a6cba234
1553-2992		1553	unaccepted	other, see comments	Species	Bartel, 1912	Dipsosphecia	sareptana					5c898fe319b1d7b073211348a6cba234
1554	1501		accepted		Species	(Grum-Grshimailo, 1890)	Bembecia	senilis					5d7a73e6ea8f02f655b057eb1eae89c6
1554-2996		1554	unaccepted	other, see comments	Species	(Filipjev, 1931)	Bembecia	lactea					4bc7e192d103fb59e1ca1f2b517a90fa
1554-2995		1554	unaccepted	other, see comments	Species	Filipjev, 1931	Dipsosphecia	lactea					4bc7e192d103fb59e1ca1f2b517a90fa
1554-2994		1554	unaccepted	other, see comments	Species	Grum-Grshimailo, 1890	Sesia	senilis					5d7a73e6ea8f02f655b057eb1eae89c6
1551	1501		accepted		Species	Gorbunov, 1992	Bembecia	rushana					3050c9ea4f627f3abd4f78b425a66cba
1551-2989		1551	unaccepted	other, see comments	Species	Špatenka, 1997	Bembecia	karategina					9fe2327ea723ea9361839a7036839274
1552	1501		accepted		Species	Špatenka & Reshöft, 1989	Bembecia	salangica					f6037652d24efc9cf23b914f73c6354b
1549	1501		accepted		Species	(Le Cerf, 1925)	Bembecia	powelli					35562453fab290880f6d6ff47b2b0829
1549-2986		1549	unaccepted	other, see comments	Species	Le Cerf, 1925	Dipsosphecia	powelli					35562453fab290880f6d6ff47b2b0829
1550	1501		accepted		Species	Bartsch & Bettag, 1997	Bembecia	psoraleae					ace81173e3554d535f23cfc3b322a946
1563	1501		accepted		Species	(Püngeler, [1905])	Bembecia	tancrei					0a023f817cb9800559cf999e564a7405
1563-3027		1563	unaccepted	other, see comments	Species	Püngeler, [1905]	Sesia	tancrei					0a023f817cb9800559cf999e564a7405
1564	1501		accepted		Species	Špatenka & Kallies, 2006	Bembecia	tshatkalensis					519cb90772bb5714e90c3741bfe2ea67
1562	1501		accepted		Species	(Kozhantschikov, 1936)	Bembecia	strandi					f611f00f842971102cbc0411682be715
1562-3025		1562	unaccepted	other, see comments	Species	Kozhantschikov, 1936	Dipsosphecia	strandi					f611f00f842971102cbc0411682be715
1557	1501		accepted		Species	(Herrich-Schäffer, [1852])	Bembecia	stiziformis					5f45d3d9abed320eadad08284bac5d82
1558	1557		accepted		Subspecies	(Herrich-Schäffer, [1852])	Bembecia	stiziformis					5f45d3d9abed320eadad08284bac5d82
1558-3014		1558	unaccepted	other, see comments	Species	(de Freina, 1983)	Bembecia	tubercula					a16e54c2c6d8a11b5852f688e4e1ea33
1558-3009		1558	unaccepted	other, see comments	Species	Le Cerf, 1938	Dipsosphecia	astyages					219d35bd334e5e006e76ab9580cac085
1558-3008		1558	unaccepted	other, see comments	Variety	(Staudinger, 1871)	Bembecia	stiziformis					980351d9e19c6bc4b519816818b8b2a3
1558-3007		1558	unaccepted	other, see comments	Species	Staudinger, 1871	Sciapteron	melasomon					980351d9e19c6bc4b519816818b8b2a3
1558-3013		1558	unaccepted	other, see comments	Species	de Freina, 1983	Paranthrene	tubercula					a16e54c2c6d8a11b5852f688e4e1ea33
1558-3012		1558	unaccepted	other, see comments	Species	(de Freina, 1983)	Bembecia	barbarossa					a16e54c2c6d8a11b5852f688e4e1ea33
1558-3011		1558	unaccepted	other, see comments	Species	de Freina, 1983	Paranthrene	barbarossa					a16e54c2c6d8a11b5852f688e4e1ea33
1558-3010		1558	unaccepted	other, see comments	Form	(Le Cerf, 1938)	Bembecia	stiziformis					219d35bd334e5e006e76ab9580cac085
1560	1557		accepted		Subspecies	(Püngeler, 1914)	Bembecia	stiziformis					f21427961b326877f338552ed20bd06a
1560-3022		1560	unaccepted	other, see comments	Species	Püngeler, 1914	Dipsosphecia	tenebrosa					f21427961b326877f338552ed20bd06a
1559	1557		accepted		Subspecies	(Lederer, 1855)	Bembecia	stiziformis					351401070b8fce5e51a8ad37af89ef5c
1559-3016		1559	unaccepted	other, see comments	Species	Lederer, 1855	Sesia	fervida					351401070b8fce5e51a8ad37af89ef5c
1559-3017		1559	unaccepted	other, see comments	Species	Staudinger, 1891	Sciapteron	subfervidum					68147318a7c02101bf03f7365f6a3b2c
1559-3018		1559	unaccepted	other, see comments	Variety	(Staudinger, 1891)	Bembecia	stiziformis					68147318a7c02101bf03f7365f6a3b2c
1559-3019		1559	unaccepted	other, see comments	Species	de Freina, 1983	Paranthrene	kara					a16e54c2c6d8a11b5852f688e4e1ea33
1559-3020		1559	unaccepted	other, see comments	Species	(de Freina, 1983)	Bembecia	kara					a16e54c2c6d8a11b5852f688e4e1ea33
1561	1557		accepted		Subspecies	Špatenka, 2001	Bembecia	stiziformis					20b3454c63390783d354c8b329732da4
1557-3005		1557	unaccepted	other, see comments	Species	Herrich-Schäffer, [1852]	Sesia	stiziformis					5f45d3d9abed320eadad08284bac5d82
1570	1501		accepted		Species	(Pinker, 1969)	Bembecia	vulcanica					f35113aad1bcd199c81e077469ad009a
1570-3042		1570	unaccepted	other, see comments	Species	Pinker, 1969	Dipsosphecia	vulcanica					f35113aad1bcd199c81e077469ad009a
1569	1501		accepted		Species	Gorbunov, 1995	Bembecia	volgensis					4ce75a03be4e51304ccab6cb31344580
1572	1501		accepted		Species	Špatenka & Gorbunov, 1992	Bembecia	zebo					df86b4b4f918572cc5fef45b905ee9cf
1572-3045		1572	unaccepted	other, see comments	Species	Špatenka, 1992	Bembecia	pamira					17b762a31b51bfbcd548ca4c90c7fe45
1571	1501		accepted		Species	Gorbunov, 2023	Bembecia	yakovlevi					e444d3e3d6bc286aacd0aee97aa7e2d8
1566	1501		accepted		Species	Gorbunov, 1992	Bembecia	tsvetajevi					577cdfba362a9fcb1a3a8ca90261a303
1565	1501		accepted		Species	(Sheljuzhko, 1935)	Bembecia	tshimgana					6af37996a0155e9d205c9fdd5332641c
1565-3030		1565	unaccepted	other, see comments	Species	Sheljuzhko, 1935	Dipsosphecia	tshimgana					6af37996a0155e9d205c9fdd5332641c
1565-3031		1565	unaccepted	other, see comments	Species	Sheljuzhko, 1935	Dipsosphecia	ninae					6af37996a0155e9d205c9fdd5332641c
1565-3032		1565	unaccepted	other, see comments	Species	(Sheljuzhko, 1935)	Bembecia	ninae					6af37996a0155e9d205c9fdd5332641c
1568	1501		accepted		Species	(Püngeler, 1912)	Bembecia	viguraea					970c961029fdba31ccd6eb9a748ad0f6
1568-3037		1568	unaccepted	other, see comments	Species	Püngeler, 1912	Dipsosphecia	viguraea					970c961029fdba31ccd6eb9a748ad0f6
1568-3038		1568	unaccepted	other, see comments	Species	Püngeler, 1912	Dipsosphecia	wagneri					970c961029fdba31ccd6eb9a748ad0f6
1568-3039		1568	unaccepted	other, see comments	Species	(Püngeler, 1912)	Bembecia	wagneri					970c961029fdba31ccd6eb9a748ad0f6
1567	1501		accepted		Species	(Erschoff, 1874)	Bembecia	turanica					d88725b5fa4c3c9a88f7ee8bb087ab92
1567-3035		1567	unaccepted	other, see comments	Species	Erschoff, 1874	Sesia	turanica					d88725b5fa4c3c9a88f7ee8bb087ab92
1578	1501		accepted		Species	Gorbunov, 2001	Bembecia	kryzhanovskii					db2ad1dfa1b299913e1b1abdaa46df40
1577	1501		accepted		Species	Špatenka, 1997	Bembecia	kappadocica					c7fa1377190bf60cbed9fe5531b13bcb
1580	1501		accepted		Species	Špatenka & Kallies, 2001	Bembecia	pyronigra					e728861f06a3217b2e97de6d3616b618
1579	1501		accepted		Species	Špatenka, 1997	Bembecia	pashtuna					9fe2327ea723ea9361839a7036839274
1574	1501		accepted		Species	Špatenka, Petersen & Kallies, 1997	Bembecia	deserticola					68327a5975637e72b5b37c4317a34d53
1573	1501		accepted		Species	Gorbunov, 1994	Bembecia	zonsteini					87b8165c9900b168c7f6acaa76cb83d4
1576	1501		accepted		Species	Lingenhöle & Bartsch, 2011	Bembecia	garrevoeti					ae69ac4183f45ba2fb0103d5ce3a8ec3
1501-2886		1501	unaccepted	other, see comments	Genus	Spuler, 1910	Dipsosphecia						ec30be1c9a5d0a8463b3477619b97a6d
1501-2887		1501	unaccepted	other, see comments	Genus	Căpușe, 1973	Scalarignathia						4faca758fade9d8fa7a39d6995782111
1501-2888		1501	unaccepted	other, see comments	Genus	Căpușe, 1973	Opacosphecia						b5b1faa43177c53a12caad2517e2574e
1501-2889		1501	unaccepted	other, see comments	Genus	Căpușe, 1973	Pseudosphecia						b5b1faa43177c53a12caad2517e2574e
1501-2890		1501	unaccepted	other, see comments	Genus	Căpușe, 1973	Ductispina						b5b1faa43177c53a12caad2517e2574e
1501-2891		1501	unaccepted	other, see comments	Genus	Căpușe, 1973	Paradipsosphecia						b5b1faa43177c53a12caad2517e2574e
1358	938		accepted		Genus	Kallies, 2018	Osmanthedon						ae25cb09203ad70bfb10f8c727ec89c9
1359	1358		accepted		Species	Agassiz & Kallies, 2018	Osmanthedon	domaticola			Africa	Native	ae25cb09203ad70bfb10f8c727ec89c9
1360	938		accepted		Genus	Gorbunov & Gurko, 2017	Lolibaia						aab55a164757569114dcad9e4b56dbaa
1364	1360		accepted		Species	Bartsch & Sáfián, 2019	Lolibaia	polythyris			Africa	Native	e19d05122ce8c11257445bf4e068442e
1363	1360		accepted		Species	Bartsch & Sáfián, 2019	Lolibaia	triangularis			Africa	Native	e19d05122ce8c11257445bf4e068442e
1362	1360		accepted		Species	Bartsch & Sáfián, 2019	Lolibaia	jurateae			Africa	Native	e19d05122ce8c11257445bf4e068442e
1361	1360		accepted		Species	Gorbunov & Gurko, 2017	Lolibaia	salimi			Africa	Native	aab55a164757569114dcad9e4b56dbaa
1365	938		accepted		Genus	Strand, 1914	Camaegeria						b71297f8c0137ab1f27ca5d51cf38246
1377	1365		accepted		Species	(Viette, [1955])	Camaegeria	xanthopimplaeformis			Africa	Native	459b1f6b0315b36d4ad5ba45591496c7
