Item type	ID	dwc	reference_author	Editors	title	publication_name	actual_pub_date	pages	publisher	pub_place	URLs	DOI	Language
Journal Article	245	Klimesch J. Zur Genitalmorphologie und Lebensweise der Fedalmia (Stigmella) saturejae (Parenti, 1963) (Lep., Nepticulidae). Zeitschrift der Arbeitsgemeinschaft Österreichischer Entomologen 28: 45-48. (1976).	Klimesch, J.		Zur Genitalmorphologie und Lebensweise der Fedalmia (Stigmella) saturejae (Parenti, 1963) (Lep., Nepticulidae)	Zeitschrift der Arbeitsgemeinschaft Österreichischer Entomologen 28	01/01/1976	45–48					de
Book Chapter	246	Walker F. List of the specimens of lepidopterous insects in the collection of the British Museum, 30. Tineites. Trustees of the British Museum (Natural History), London, 30: 837-1096 pp. (1864).	Walker, F.		List of the specimens of lepidopterous insects in the collection of the British Museum, 30. Tineites	Trustees of the British Museum (Natural History 30	01/01/1864	837–1096		London			en
Journal Article	247	Puplesis RK. Obzor vidov roda Microcalyptris (Lepidoptera, Nepticulidae) iz pustyn' Mongolii i SSSR (A review of nepticulid moths of the genus Microcalyptris (Lepidoptera, Nepticulidae) from the deserts of Mongolia and the USSR). Nasekomye Mongolii 9: 484-507. (1984).	Puplesis, R. K.		Obzor vidov roda Microcalyptris (Lepidoptera, Nepticulidae) iz pustyn' Mongolii i SSSR (A review of nepticulid moths of the genus Microcalyptris (Lepidoptera, Nepticulidae) from the deserts of Mongolia and the USSR)	Nasekomye Mongolii 9	01/01/1984	484–507					en
Journal Article	248	Dufrane A. Microlépidoptères de la faune Belge (6e note). Bulletin de l'Institut Royal des Sciences Naturelles de Belgique 25: 1-11. (1949).	Dufrane, A.		Microlépidoptères de la faune Belge (6e note)	Bulletin de l'Institut Royal des Sciences Naturelles de Belgique 25	01/01/1949	1–11					fr
Journal Article	249	Glitz CT. Ueber einige Arten Nepticula. Stettiner Entomologische Zeitung 48: 276-277. (1887).	Glitz, C. T.		Ueber einige Arten Nepticula	Stettiner Entomologische Zeitung 48	01/01/1887	276–277					de
Journal Article	250	Nolcken JHWB. Lepidopterologische Fauna von Estland, Livland und Kurland. Zweite Abtheilung, Microlepidoptera, 2. Heft. Arbeiten des Naturforscher-Vereins zu Riga 4: i-viii, 1-849. (1871).	Nolcken, J. H. W. B.		Lepidopterologische Fauna von Estland, Livland und Kurland. Zweite Abtheilung, Microlepidoptera, 2. Heft	Arbeiten des Naturforscher-Vereins zu Riga 4	01/01/1871	1–849					de
Journal Article	251	Klimesch J. Über einige Nahrungsrassen von Nepticula-Arten (Lep., Nepticulidae). Wiener Entomologische Rundschau 2: 25-28. (1950).	Klimesch, J.		Über einige Nahrungsrassen von Nepticula-Arten (Lep., Nepticulidae)	Wiener Entomologische Rundschau 2	01/01/1950	25–28					de
Journal Article	252	Dovnar-Zapolski DP. Miniruyushchie nasekomye na rasteniyakh Kirgizii i sopredel'nykh territorij. [Mining insects on plants of Kirgizia and neighbourhood territory]. Akademiya Nauk Kirgizskoj SSR, Frunze: 149 pp. (1969).	Dovnar-Zapolski, D. P.		Miniruyushchie nasekomye na rasteniyakh Kirgizii i sopredel'nykh territorij. [Mining insects on plants of Kirgizia and neighbourhood territory]	Akademiya Nauk Kirgizskoj SSR	01/01/1969	149		Frunze			ru-Latn
Journal Article	253	Dugdale JS. Lepidoptera : annotated catalogue, and keys to family-group taxa. Fauna of New Zealand 14: 1-262. (1988).	Dugdale, J. S.		Lepidoptera : annotated catalogue, and keys to family-group taxa	Fauna of New Zealand 14	01/01/1988	1–262					
Journal Article	254	Rössler A. Die Schuppenflügler (Lepidopteren) des Kgl. Regierungsbezirks Wiesbaden und ihre Entwicklungsgeschichte. Jahrbuch des Nassauischen Vereins für Naturkunde 33 + 34: 1-392. (1881).	Rössler, A.		Die Schuppenflügler (Lepidopteren) des Kgl. Regierungsbezirks Wiesbaden und ihre Entwicklungsgeschichte	Jahrbuch des Nassauischen Vereins für Naturkunde 33 + 34	01/01/1881	1–392					
