Item type	ID	dwc	reference_author	Editors	title	publication_name	actual_pub_date	pages	publisher	pub_place	URLs	DOI	Language
Journal Article	300	Jones WJ. The description and biology of Nepticula braunella new species (Lepidoptera-Nepticulidae), a species of leaf miner on Prunus ilicifolia Walp. and the variety integrifolia Sarg. University of California Publications in Entomology 6: 49-78. (1933).	Jones, W. J.		The description and biology of Nepticula braunella new species (Lepidoptera-Nepticulidae), a species of leaf miner on Prunus ilicifolia Walp. and the variety integrifolia Sarg	University of California Publications in Entomology 6	01/01/1933	49–78					
Journal Article	301	Wocke MF. Über einige wenig bekannte oder neue Falter der deutschen Fauna. Zeitschrift für Entomologie (Breslau), N F 6: 42-52. (1877).	Wocke, M. F.		Über einige wenig bekannte oder neue Falter der deutschen Fauna	Zeitschrift für Entomologie (Breslau N F 6	01/01/1877	42–52					
Journal Article	302	Sohn J-C, Labandeira CC, Davis DR, Mitter C. An annotated catalog of fossil and subfossil Lepidoptera (Insecta: Holometabola) of the world. Zootaxa 3286: 1–132. (2012).	Sohn, J. C., Labandeira CC, D. R. Davis, and C. Mitter		An annotated catalog of fossil and subfossil Lepidoptera (Insecta: Holometabola) of the world	Zootaxa 3286	01/01/2012	1–132					
Journal Article	303	Szocs J. 7. család: Nepticulidae-Törpemolyok. In: Gozmány LA, Szocs J (Eds) Lepidoptera 2 Molylepkék I, Microlepidoptera I. Akadémia Kiadó, Budapest, 48-104. (1965).	Szocs, J.,  / Gozmány, L. A. and J. Szocs, eds.	Gozmány, L. A. and J. Szocs, eds.	7. család: Nepticulidae-Törpemolyok	Lepidoptera 2 Molylepkék I, Microlepidoptera I	01/01/1965	48–104	Akadémia Kiadó	Budapest			
Journal Article	304	Klimesch J. Beiträge zur Kenntnis der Microlepidopteren-Fauna des Kanarischen Archipels. 1. Beitrag: Nepticulidae, Tischeriidae. Vieraea 6: 191-218. (1977).	Klimesch, J.		Beiträge zur Kenntnis der Microlepidopteren-Fauna des Kanarischen Archipels. 1. Beitrag: Nepticulidae, Tischeriidae	Vieraea 6	01/01/1977	191–218					
Journal Article	305	Meyrick E. Exotic Microlepidoptera. Exotic Microlepidoptera 2: 385-416. (1921).	Meyrick, E.		Exotic Microlepidoptera 2	Exotic Microlepidoptera	01/01/1921	385–416					
Book	306	Frey H. Die Lepidopteren der Schweiz. Wilhelm Engelmann, Leipzig: xxvi+454 pp. doi: 10.5962/bhl.title.7905. (1880).	Frey, H.			Die Lepidopteren der Schweiz	01/01/1880	454	Wilhelm Engelmann	Leipzig	http://dx.doi.org/10.5962/bhl.title.7905	10.5962/bhl.title.7905	de
Journal Article	307	Heinemann H von, Wocke MF. Die Schmetterlinge Deutschlands und der Schweiz. Zweite Abtheilung. Kleinschmetterlinge. Band 2. Die Motten und Federmotten. Heft 2. C. A. Schwetke und Sohn, Braunschweig: 389-825, v-vi, tabelle 381-102 pp. ([1876]).	Heinemann, H. von, and M. F. Wocke			Die Schmetterlinge Deutschlands und der Schweiz. Zweite Abtheilung. Kleinschmetterlinge. Band 2. Die Motten und Federmotten. Heft 2	01/01/1876	389-825	C. A. Schwetke und Sohn	Braunschweig		v-vi, tabelle	
Journal Article	308	Herrich-Schäffer GAW. Systema Lepidopterorum Europae. Systematisches Verzeichniss der Europäischen Schmetterlinge. In: Herrich-Schäffer GAW (Ed) Systematische Bearbeitung der Schmetterlinge von Europa, zugleich als Text, Revision und Supplement zu Jakob Hübner's Sammlung europäischer Schmetterlinge, 6. G. J. Manz, Regensburg, 61-72. (1855).	Herrich-Schäffer, G. A. W.  / Herrich-Schäffer, G. A. W., ed.	Herrich-Schäffer, G. A. W., ed.	Systematisches Verzeichniss der Europäischen Schmetterlinge	Systematische Bearbeitung der Schmetterlinge von Europa, zugleich als Text, Revision und Supplement zu Jakob Hübner's Sammlung europäischer Schmetterlinge, 6	01/01/1855	61–72	G. J. Manz	Regensburg			
Journal Article	309	Vári L. Nederlandse Lepidoptera. 4e Faunistische Mededeling. Entomologische Berichten, Amsterdam 11: 213-216. (1944).	Vári, L.		Nederlandse Lepidoptera. 4e Faunistische Mededeling	Entomologische Berichten, Amsterdam 11	01/01/1944	213–216					
Journal Article	310	Gustafsson B. A new species of Nepticula v. Heyden and redescription of Trifurcula clinomochla (Meyrick) from Sri Lanka (Lep. Nepticulidae). Entomologisk Tidskrift 97: 45-49. (1976).	Gustafsson, B.		A new species of Nepticula v. Heyden and redescription of Trifurcula clinomochla (Meyrick) from Sri Lanka (Lep. Nepticulidae)	Entomologisk Tidskrift 97	01/01/1976	45–49					
Journal Article	311	Preissecker F. Zwei neue Nepticula-Arten aus dem Gebiete des heutigen Reichsgaues Wien. Zeitschrift des Wiener Entomologen-Vereines 27: 208-211. (1942).	Preissecker, F.		Zwei neue Nepticula-Arten aus dem Gebiete des heutigen Reichsgaues Wien	Zeitschrift des Wiener Entomologen-Vereines 27	01/01/1942	208–211					
Journal Article	312	Wocke MF. Zwei neue Nepticulen. Stettiner Entomologische Zeitung 26: 269-270. (1865).	Wocke, M. F.		Zwei neue Nepticulen	Stettiner Entomologische Zeitung 26	01/01/1865	269–270					
Journal Article	313	Wolff NL. Nepticula repentiella n. sp. (Lepidoptera, Nepticulidae). Entomologiske Meddelelser 27: 82-90, pls. 81-84. (1955).	Wolff, N. L.		Nepticula repentiella n. sp. (Lepidoptera, Nepticulidae)	Entomologiske Meddelelser 27	01/01/1955	82–90					
Journal Article	314	Braun AF. Microlepidoptera of Northern Utah. Transactions of the American Entomological Society 51: 183-226. (1925).	Braun, A. F.		Microlepidoptera of Northern Utah	Transactions of the American Entomological Society 51	01/01/1925	183–226					
Journal Article	315	Eppelsheim F. Nepticula gei Wk. ab. semicolorella Epplshm. Stettiner Entomologische Zeitung 52: 351-352. (1891).	Eppelsheim, F.		Nepticula gei Wk. ab. semicolorella Epplshm	Stettiner Entomologische Zeitung 52	01/01/1891	351–352					
Journal Article	316	Klimesch J. Nuova specie di Nepticula della Romagna (Lep., Nepticulidae). Nepticula Zangherii spec. nov. Bollettino della Società Entomologica Italiana 81: 61-62. (1951).	Klimesch, J.		Nuova specie di Nepticula della Romagna (Lep., Nepticulidae). Nepticula Zangherii spec. nov	Bollettino della Società Entomologica Italiana 81	01/01/1951	61–62					
Journal Article	317	Szocs J. Some unknown data concerning miners (Lepidoptera). Acta Zoologica Academiae Scientiarum Hungariae 14: 225-231. (1968).	Szocs, J.		Some unknown data concerning miners (Lepidoptera)	Acta Zoologica Academiae Scientiarum Hungariae 14	01/01/1968	225–231					
Journal Article	318	Chambers VT. Tineina. Canadian Entomologist 8: 158-160. (1876).	Chambers, V. T.		Tineina	Canadian Entomologist 8	01/01/1876	158–160					
Miscellaneous	319	Fabricius JC. Systema entomologiae, sistens Insectorum Classes, Ordines, Genera, Species. Kortii, Flensburgi et Lipsiae: 832 pp. (1775).	Fabricius, J. C.			Systema entomologiae, sistens Insectorum Classes, Ordines, Genera, Species	01/01/1775	832	Kortii, Flensburgi et Lipsiae			Kortii, Flensburgi et Lipsiae:	
Journal Article	320	Chrétien P. Contribution à la connaissance des Lépidoptères du Nord de l'Afrique. Annales de la Société Entomologique de France 84: 289-374, figs. 281-211. (1915).	Chrétien, P.		Contribution à la connaissance des Lépidoptères du Nord de l'Afrique	Annales de la Société Entomologique de France 84	01/01/1915	289–374					
Journal Article	321	Nieukerken EJ van. Stigmella rolandi sp. n.: a widespread southern European species on Rosa (Lepidoptera: Nepticulidae). Tijdschrift voor Entomologie 133: 239-243. (1990).	van Nieukerken, E. J.,		Stigmella rolandi sp. n.: a widespread southern European species on Rosa (Lepidoptera: Nepticulidae)	Tijdschrift voor Entomologie 133	01/01/1990	239–243					
Journal Article	322	Nieukerken EJ van, Puplesis R. Taxonomy and distribution of the Trifurcula (Glaucolepis) raikhonae group (Lepidoptera: Nepticulidae). Tijdschrift voor Entomologie 134: 201-210. (1991).	van Nieukerken, E. J., and R. Puplesis		Taxonomy and distribution of the Trifurcula (Glaucolepis) raikhonae group (Lepidoptera: Nepticulidae	Tijdschrift voor Entomologie 134	01/01/1991	201–210					
Journal Article	323	Porritt GT. List of Yorkshire Lepidoptera. Transactions of the Yorkshire Naturalist's Union, Series D Entomology 2: 1-198. doi: http://dx.doi.org/10.5962/bhl.title.7900. (1883).	Porritt, G. T.		List of Yorkshire Lepidoptera	Transactions of the Yorkshire Naturalist's Union, Series D Entomology 2	01/01/1883	1–198			http://dx.doi.org/10.5962/bhl.title.7900	10.5962/bhl.title.7900	en
Journal Article	324	Forbes WTM, Leonard MD. A new leaf-miner of cotton in Porto Rico (Nepticula gossypii new species). Journal of the Department of Agriculture, Porto Rico 14: 151-157, pls. 115-116. (1930).	Forbes, WTM., and M. D. Leonard		A new leaf-miner of cotton in Porto Rico (Nepticula gossypii new species)	Journal of the Department of Agriculture, Porto Rico 14	01/01/1930	151–157					
Journal Article	325	Weber P. Zwei neue Arten der Mikrolepidopterengattung Nepticula und ein Beitrag zur Kenntnis von Nepticula stelviana Wck. Mitteilungen der Schweizerischen Entomologischen Gesellschaft 17: 211-215. (1938).	Weber, P.		Zwei neue Arten der Mikrolepidopterengattung Nepticula und ein Beitrag zur Kenntnis von Nepticula stelviana Wck	Mitteilungen der Schweizerischen Entomologischen Gesellschaft 17	01/01/1938	211–215					
Journal Article	326	Vaughan PH. A new Nepticula. Entomologist's Weekly Intelligencer 5: 43-44. (1858).	Vaughan, P. H.		A new Nepticula	Entomologist's Weekly Intelligencer 5	01/01/1858	43–44					
Journal Article	327	Skala H. Zur Minenfauna Oberösterreichs. Zeitschrift des Österreichischen Entomologen-Vereines 20: 77-80. (1935).	Skala, H.		Zur Minenfauna Oberösterreichs	Zeitschrift des Österreichischen Entomologen-Vereines 20	01/01/1935	77–80					
Journal Article	328	Meyrick E. Exotic Microlepidoptera. Exotic Microlepidoptera 5: 65-96. (1937).	Meyrick, E.		Exotic Microlepidoptera 5	Exotic Microlepidoptera	01/01/1937	65–96					
Journal Article	329	Klimesch J. Zur Frage der verwantschaftlichen Beziehungen einiger Stigmella-Arten auf Grund des Baues des männl. Kopulationsapparates. (Lep., Stigmellidae). Zeitschrift der Wiener Entomologischen Gesellschaft 33: 49-82. (1948).	Klimesch, J.		Zur Frage der verwantschaftlichen Beziehungen einiger Stigmella-Arten auf Grund des Baues des männl. Kopulationsapparates. (Lep., Stigmellidae)	Zeitschrift der Wiener Entomologischen Gesellschaft 33	01/01/1948	49–82					
Journal Article	330	Stonis JR, Diškus A, Remeikis A, Torres NC. First description of leaf-mining Nepticulidae and Tischeriidae (Insecta, Lepidoptera) feeding on the Chilean endemic plant genus Podanthus Lag. (Asteraceae). Zootaxa 4061: 119-130. doi: 10.11646/zootaxa.4061.2.2. (2016).	Stonis, J. R., A. Diškus, A. Remeikis, and N. C. Torres		First description of leaf-mining Nepticulidae and Tischeriidae (Insecta, Lepidoptera) feeding on the Chilean endemic plant genus Podanthus Lag(Asteraceae)	Zootaxa 4061	01/01/2016	119–130			http://dx.doi.org/10.11646/zootaxa.4061.2.2	10.11646/zootaxa.4061.2.2	en
Conference Paper	331	Meyrick E. Descriptions of Australian Microlepidoptera, XVI. Tineidae. Proceedings of the Linnean Society of New South Wales (2) 7: 477-612. doi: http://dx.doi.org/10.5962/bhl.part.26071. (1893).	Meyrick, E.		Descriptions of Australian Microlepidoptera, XVI. Tineidae	Proceedings of the Linnean Society of New South Wales (2) 7	01/01/1893	477–612			http://dx.doi.org/10.5962/bhl.part.26071	10.5962/bhl.part.26071	en
Journal Article	332	Chambers VT. New species of Tineina. Journal of the Cincinnati Society of Natural History 3: 289-296. (1881).	Chambers, V. T.		New species of Tineina	Journal of the Cincinnati Society of Natural History 3	01/01/1881	289–296					
Journal Article	333	Krogerus H, Opheim, M., Schantz, M. von, Svensson, I. & Wolff, N. Catalogus Lepidopterorum Fenniae et Scandinaviae, Microlepidoptera. Helsigin Hyönteisvaihtoyhdistys, Helsinki: 1-40 pp. (1971).	Krogerus, H., M. Opheim, M. von Schantz, I. Svensson, and N. Wolff			Catalogus Lepidopterorum Fenniae et Scandinaviae, Microlepidoptera	01/01/1971	1–40	Helsigin Hyönteisvaihtoyhdistys	Helsinki			
Miscellaneous	334	Gregor F, Povolný D. Nové a významné nálezy Lepidopter z Ceskoslovenska. (Neue un interessante Lepidopteren aus der CSR). Casopis Moravského Musea v Brne (Vedy prírodní) 40: 114-129. (1955).	Gregor, F., and D. Povolný		Nové a významné nálezy Lepidopter z Ceskoslovenska. (Neue un interessante Lepidopteren aus der CSR)	Casopis Moravského Musea v Brne (Vedy prírodní) 40	01/01/1955	114–129				Neue un interessante Lepidopteren aus der CSR). Casopis Moravského Musea v Brne (Vedy prírodní	
Journal Article	335	Dufrane A. Microlépidoptères de la faune Belge (1re note). Bulletin du Musée Royal d'Histoire Naturelle du Belgique 18: 1-12. (1942).	Dufrane, A.		Microlépidoptères de la faune Belge (1re note)	Bulletin du Musée Royal d'Histoire Naturelle du Belgique 18	01/01/1942	1–12					
Journal Article	336	Frey H, Boll J. Tineen aus Texas. Stettiner Entomologische Zeitung 39: 249-280. (1878).	Frey, H., and J. Boll		Tineen aus Texas	Stettiner Entomologische Zeitung 39	01/01/1878	249–280					
Book Chapter	337	Puplesis RK. Kratkij zoogeograficheskij obzor molej-malyutok (Lepidoptera, Nepticulidae) yuga Dal'nego Vostoka s opisaniem novykh vidov [A short zoogeographical survey of Nepticulidae from the south of the Far East with descriptions of new species.]. In: Ler PA, Kirpichnikova VA, Kononenko VS (Eds) Cheshuekrylye Dal'nego Vostoka SSSR [Lepidoptera of the Far East of the USSR]. Far East Scientific Center, Vladivostok, 4-13. (1987).	Puplesis, R. K.,  / Ler, P. A., V. A. Kirpichnikova, and V. S. Kononenko, eds.	Ler, P. A., V. A. Kirpichnikova, and V. S. Kononenko, eds.	Kratkij zoogeograficheskij obzor molej-malyutok (Lepidoptera, Nepticulidae) yuga Dal'nego Vostoka s opisaniem novykh vidov [A short zoogeographical survey of Nepticulidae from the south of the Far East with descriptions of new species]	Cheshuekrylye Dal'nego Vostoka SSSR [Lepidoptera of the Far East of the USSR].	01/01/1987	4–13	Far East Scientific Center	Vladivostok			
Journal Article	338	Scoble MJ. Trifurcula Zeller: a critical analysis of the genus, cladistic relationships and descriptions of two new species from South Africa (Lepidoptera: Nepticulidae). Journal of the Entomological Society of Southern Africa 43: 139-150. (1980).	Scoble, M. J.		Trifurcula Zeller: a critical analysis of the genus, cladistic relationships and descriptions of two new species from South Africa (Lepidoptera: Nepticulidae)	Journal of the Entomological Society of Southern Africa 43	01/01/1980	139–150					
Journal Article	339	Wagner DL. A new Microcalyptris species from California (Lepidoptera: Nepticulidae). Pan-Pacific Entomologist 63: 278-283. (1987).	Wagner, D. L.		A new Microcalyptris species from California (Lepidoptera: Nepticulidae)	Pan-Pacific Entomologist 63	01/01/1987	278–283					
Journal Article	340	Skala H. Zur Familie der Miner (Nepticulidae). Zeitschrift der Wiener Entomologischen Gesellschaft 32: 121-122. (1948).	Skala, H.		Zur Familie der Miner (Nepticulidae)	Zeitschrift der Wiener Entomologischen Gesellschaft 32	01/01/1948	121–122					
Journal Article	341	Fologne E. Observations sur quelques Lépidoptères en Belgique. Annales de la Société Entomologique Belge 6: 161-169, pl. 162. (1862).	Fologne, E.		Observations sur quelques Lépidoptères en Belgique	Annales de la Société Entomologique Belge 6	01/01/1862	161–169					
Journal Article	342	Meyrick E. Notes and descriptions of Indian Micro-Lepidoptera. Records of the Indian Museum 5: 217-232. (1910).	Meyrick, E.		Notes and descriptions of Indian Micro-Lepidoptera	Records of the Indian Museum 5	01/01/1910	217–232					
Journal Article	343	Frey H. Nepticula agrimoniae. Entomologist's Weekly Intelligencer 4: 43-44. (1858).	Frey, H.		Nepticula agrimoniae	Entomologist's Weekly Intelligencer 4	01/01/1858	43–44					
Miscellaneous	344	Rebel H. Catalog der Lepidopteren des Palaearctischen Faunengebietes. II. Theil: Famil. Pyralidae - Micropterygidae. Friedländer & Sohn, Berlin: i-xxx, 368 pp. (1901).	Rebel, H.			Catalog der Lepidopteren des Palaearctischen Faunengebietes. II. Theil: Famil. Pyralidae - Micropterygidae	01/01/1901	368	Friedländer & Sohn	Berlin			
Journal Article	345	Müller-Rutz J. Über Microlepidopteren. Mitteilungen der Schweizerischen Entomologischen Gesellschaft 16: 118-128, 111 pl. doi: http://dx.doi.org/10.5169/seals-400814. (1934).	Müller-Rutz, J.		Über Microlepidopteren	Mitteilungen der Schweizerischen Entomologischen Gesellschaft 16	01/01/1934	118–128			http://dx.doi.org/10.5169/seals-400814	10.5169/seals-400814	de
Journal Article	346	Heinemann H von. Einige Bemerkungen über die Arten der Gattung Nepticula. Wiener Entomologische Monatschrift 6: 301-320. (1862).	Heinemann, H. von,		Einige Bemerkungen über die Arten der Gattung Nepticula	Wiener Entomologische Monatschrift 6	01/01/1862	301–320					
Journal Article	347	Nickerl O. Die Motten Böhmens (Tineen). Beiträge zur Insekten- Fauna Böhmens VI. Verlag der Gesellschaft für Physiokratie, Prag: 161 pp. (1908).	Nickerl, O.		Die Motten Böhmens (Tineen)	Beiträge zur Insekten- Fauna Böhmens VI	01/01/1908	161	Verlag der Gesellschaft für Physiokratie	Prag			
Journal Article	348	Le Marchand S. Stigmella prinophyllella n. sp. (Microlépidoptères, Stigmellidae). Revue française de Lépidoptérologie 10: 280-289. (1946).	Le Marchand, S.		Stigmella prinophyllella n. sp. (Microlépidoptères, Stigmellidae)	Revue française de Lépidoptérologie 10	01/01/1946	280–289					
Journal Article	349	Wörz A. Nepticula hahniella spec. nov. m. Entomologische Rundschau 54: 290-292. (1937).	Wörz, A.		Nepticula hahniella spec. nov. m	Entomologische Rundschau 54	01/01/1937	290–292					
Journal Article	350	Stonis JR, Remeikis A. The first records on the genus Acalyptris from the Caribbean (Lepidoptera: Nepticulidae). Zootaxa 4057: 79-90. doi: 10.11646/zootaxa.4057.1.4. (2015).	Stonis, J. R., and A. Remeikis		The first records on the genus Acalyptris from the Caribbean (Lepidoptera: Nepticulidae)	Zootaxa 4057	01/01/2015	79–90			http://dx.doi.org/10.11646/zootaxa.4057.1.4	10.11646/zootaxa.4057.1.4	en
Miscellaneous	351	Gregor F, Povolny D. Description of Ectoedemia spiraeae (Gregor & Povolny, 1955) and designation of type specimens of Lithocolletis desertella Gregor & Povolny, 1949. Casopis Moravského Musea v Brne (Vedy prírodní) 68: 173-180. (1983).	Gregor, F., and D. Povolny		Description of Ectoedemia spiraeae (Gregor & Povolny, 1955) and designation of type specimens of Lithocolletis desertella Gregor & Povolny, 1949	Casopis Moravského Musea v Brne (Vedy prírodní) 68	01/01/1949	173–180				Casopis Moravského Musea v Brne (Vedy prírodní	
Journal Article	352	Legrand H. Lépidoptères des îles Seychelles et d'Aldabra. Mémoires du Musée National d'Histoire Naturelle, Série A, Zoologie 37: 1-210, pls. i-xvi. (1965).	Legrand, H.		Lépidoptères des îles Seychelles et d'Aldabra	Mémoires du Musée National d'Histoire Naturelle, Série A, Zoologie 37	01/01/1965	1–210					
Journal Article	353	Hartig F. Nepticula vincamajorella sp. n. (Lepid. Nepticulidae). Bollettino dell'Associazione Romana di Entomologia 19: 8-9, pl. 1. (1964).	Hartig, F.		Nepticula vincamajorella sp. n. (Lepid. Nepticulidae)	Bollettino dell'Associazione Romana di Entomologia 19	01/01/1964	8–9					
Journal Article	354	Nieukerken EJ van, Zolotuhin VV, Mistchenko A. Nepticulidae from the Volga and Ural region. Nota Lepidopterologica 27: 125-157. doi: http://www.repository.naturalis.nl/record/227761. (2004).	van Nieukerken, E. J., V. V. Zolotuhin, and A. Mistchenko		Nepticulidae from the Volga and Ural region	Nota Lepidopterologica 27	01/01/2004	125–157			http://dx.doi.org/http://www.repository.naturalis.nl/record/227761		en
Journal Article	355	Richardson NM. Description of a Nepticula (auromarginella) new to science from near Weymouth. Entomologist's Monthly Magazine 26: 30-31. (1890).	Richardson, N. M.		Description of a Nepticula (auromarginella) new to science from near Weymouth	Entomologist's Monthly Magazine 26	01/01/1890	30–31					
Journal Article	356	Shield R. List of Micro-Lepidoptera taken in the vicinity of Dublin during the year 1853. Zoologist 11: 4152-4153. (1853).	Shield, R.		List of Micro-Lepidoptera taken in the vicinity of Dublin during the year 1853	Zoologist 11	01/01/1853	4152–4153					
Journal Article	357	Meyrick E. Exotic Microlepidoptera. Exotic Microlepidoptera 2: 449-480. (1921).	Meyrick, E.		Exotic Microlepidoptera 2	Exotic Microlepidoptera	01/01/1921	449–480					
Journal Article	358	Threlfall JH. Notes on certain Tineae. The Entomologist 17: 113-114. (1884).	Threlfall, J. H.		Notes on certain Tineae	The Entomologist 17	01/01/1884	113–114					
Journal Article	359	Martins-Neto RG. Novos insetos terciários do estado de São Paulo. Revista Brasileira de Geociências 19: 375-386. (1989).	Martins-Neto, R. G.		Novos insetos terciários do estado de São Paulo	Revista Brasileira de Geociências 19	01/01/1989	375–386					
Journal Article	360	Toll S. Nepticula nowakowskii spec. nova aus Polen. Zeitschrift der Wiener Entomologischen Gesellschaft 42: 199-201. (1957).	Toll, S.		Nepticula nowakowskii spec. nova aus Polen	Zeitschrift der Wiener Entomologischen Gesellschaft 42	01/01/1957	199–201					
Journal Article	361	Skala H. Neue Neptikel. Zeitschrift des Österreichischen Entomologen-Vereines 18: 30-32. (1933).	Skala, H.		Neue Neptikel	Zeitschrift des Österreichischen Entomologen-Vereines 18	01/01/1933	30–32					
Journal Article	362	Hering M. Minenstudien 13. Zeitschrift für Pflanzenkrankheiten (Pflanzenpathologie) und Pflanzenschutz 42: 567-579. (1932).	Hering, M.		Minenstudien 13	Zeitschrift für Pflanzenkrankheiten (Pflanzenpathologie) und Pflanzenschutz 42	01/01/1932	567–579					
Journal Article	363	Fuchs A. Kleinschmetterlinge der Loreley-Gegend. Stettiner Entomologische Zeitung 56: 21-52. (1895).	Fuchs, A.		Kleinschmetterlinge der Loreley-Gegend	Stettiner Entomologische Zeitung 56	01/01/1895	21–52					
Journal Article	364	Meess A. Nachtrag zu Reutti`s Lepidopteren-Fauna des Grossherzogtums Baden. Mitteilungen des Badischen Zoologischen Vereins 18: 121-130. (1907).	Meess, A.		Nachtrag zu Reutti`s Lepidopteren-Fauna des Grossherzogtums Baden	Mitteilungen des Badischen Zoologischen Vereins 18	01/01/1907	121–130					
Journal Article	365	Stainton HT. An introduction to the study of Nepticulidae. Zoologist 11: 3952-3960. (1853).	Stainton, H. T.		An introduction to the study of Nepticulidae	Zoologist 11	01/01/1853	3952–3960					
Journal Article	366	Le Marchand S. Nepticula alaternella nova species, du midi de la France. Amateur de Papillons 8: 233-239. (1937).	Le Marchand, S.		Nepticula alaternella nova species, du midi de la France	Amateur de Papillons 8	01/01/1937	233–239					
Journal Article	367	Klimesch J. Die an Ulmen lebenden europäischen Nepticuliden-Arten (Lepidoptera: Nepticulidae). Opuscula Entomologica 135: 1-15. (1975).	Klimesch, J.		Die an Ulmen lebenden europäischen Nepticuliden-Arten (Lepidoptera: Nepticulidae)	Opuscula Entomologica 135	01/01/1975	1–15					
Book Chapter	368	Turati E. Cinque anni di ricerche nell'Appennino Modenese (Note di Lepidotterologia). Atti della Società Italiana di Scienze Naturali e del Museo Civico di Storia Naturale di Milano 62: 4-74. (1923).	Turati, E.		Cinque anni di ricerche nell'Appennino Modenese (Note di Lepidotterologia)	Atti della Società Italiana di Scienze Naturali e del Museo Civico di Storia Naturale di Milano 62	01/01/1923	4–74					
Journal Article	369	Puplesis R, Diškus A, Nieukerken EJ van. Stigmella divina sp. n., a remarkable species from Turkmenistan and Turkey (Lepidoptera, Nepticulidae). Tijdschrift voor Entomologie 140: 55-58. (1997).	Puplesis, R., A. Diškus, and E. J. van Nieukerken		Stigmella divina sp. n., a remarkable species from Turkmenistan and Turkey (Lepidoptera, Nepticulidae)	Tijdschrift voor Entomologie 140	01/01/1997	55–58					
Journal Article	370	Dufrane A. Microlépidoptères de la Faune paléarctique. Mémoires de la Société Royale Entomologique de Belgique 27: 184-193. (1955).	Dufrane, A.		Microlépidoptères de la Faune paléarctique	Mémoires de la Société Royale Entomologique de Belgique 27	01/01/1955	184–193					
Journal Article	371	Meyrick E. Notes and descriptions of New Zealand Lepidoptera. Transactions and Proceedings of the New Zealand Institute 53: 334-336. (1921).	Meyrick, E.		Notes and descriptions of New Zealand Lepidoptera	Transactions and Proceedings of the New Zealand Institute 53	01/01/1921	334–336					
Journal Article	372	Puplesis R, Seksjaeva S, Noreika R, Puplesiene J. Some leaf-mining Lepidoptera from the Aksu Dzhabagly Reserve (western Tian Shan) with the descriptions of four new species (Lepidoptera: Nepticulidae, Bucculatricidae). Nota Lepidopterologica 15: 47-64. (1992).	Puplesis, R., S. Seksjaeva, R. Noreika, and J. Puplesiene		Some leaf-mining Lepidoptera from the Aksu Dzhabagly Reserve (western Tian Shan) with the descriptions of four new species (Lepidoptera: Nepticulidae, Bucculatricidae	Nota Lepidopterologica 15	01/01/1992	47–64					
Journal Article	373	Borkowski A. Studien an Nepticuliden (Lepidoptera). Teil VI. Die Verbreitung der Nepticuliden in Polen. Polskie Pismo Entomologiczne 45: 487-535, 410 pls. (1975).	Borkowski, A.		Studien an Nepticuliden (Lepidoptera). Teil VI. Die Verbreitung der Nepticuliden in Polen	Polskie Pismo Entomologiczne 45	01/01/1975	487–535					
Journal Article	374	Stainton HT. Nepticula Poterii. Entomologist's Weekly Intelligencer 2: 116. (1857).	Stainton, H. T.		Nepticula Poterii	Entomologist's Weekly Intelligencer 2	01/01/1857	116					
Journal Article	375	Remeikis A, Stonis JR, Diškus A, Davis DR. Contribution to the Opostegidae fauna of Central America, with an updated checklist and description of new species from Costa Rica and Mexico (Insecta: Lepidoptera). Acta Zoologica Lituanica 19: 268-277. doi: 10.2478/v10043-009-0037-0. (2009).	Remeikis, A., J. R. Stonis, A. Diškus, and D. R. Davis		Contribution to the Opostegidae fauna of Central America, with an updated checklist and description of new species from Costa Rica and Mexico (Insecta: Lepidoptera)	Acta Zoologica Lituanica 19	01/01/2009	268–277			http://dx.doi.org/10.2478/v10043-009-0037-0	10.2478/v10043-009-0037-0	en
Journal Article	376	Klimesch J. Nepticula preisseckeri spec. nov. (Lep., Nepticulidae). Zeitschrift des Wiener Entomologen-Vereines 26: 162-168, pl. 116. (1941).	Klimesch, J.		Nepticula preisseckeri spec. nov. (Lep., Nepticulidae)	Zeitschrift des Wiener Entomologen-Vereines 26	01/01/1941	162–168					
Journal Article	377	Laštuvka A, Laštuvka Z. Parafomoria fumanae sp. n., a new stem miner on Fumana procumbens (Lepidoptera: Nepticulidae). Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis 53: 15-17. doi: 10.11118/actaun200553010015. (2005).	Laštuvka, A., and Z. Laštuvka		Parafomoria fumanae sp. n., a new stem miner on Fumana procumbens (Lepidoptera: Nepticulidae)	Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis 53	01/01/2005	15–17			http://dx.doi.org/10.11118/actaun200553010015	10.11118/actaun200553010015	la
Journal Article	378	Braun AF. Descriptions of new Microlepidoptera. Transactions of the American Entomological Society 53: 191-199. (1927).	Braun, A. F.		Descriptions of new Microlepidoptera	Transactions of the American Entomological Society 53	01/01/1927	191–199					
Journal Article	379	Kuroko H. A new species of the genus Stigmella Schrank (Lepidoptera, Nepticulidae) from Japan. Tinea 18: 238-240. (2004).	Kuroko, H.		A new species of the genus Stigmella Schrank (Lepidoptera, Nepticulidae) from Japan	Tinea 18	01/01/2004	238–240					
Journal Article	380	Skala H. Die Nepticulidae Oberösterreichs. Entomologischer Anzeiger 14: 5-8. (1934).	Skala, H.		Die Nepticulidae Oberösterreichs	Entomologischer Anzeiger 14	01/01/1934	5–8					
